stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_rolloff95_Mean,spectral_spectentropy_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
tyjlxbHsnuY,0.920883,4.446048,4.544519,130.178162,3.137962,4205.121708,0.623906,3939.561337,12032.755782,0.827159,21803.98905,0.715979,0.836542,0.179102,0.231307,-0.016874,0.338232,0.018859,0.153693,-0.051323,-0.079061,-0.006122,0.035974,0.063238,2165.928819,0.512153,824.586245,56.619372,65.524978,0.452003,-0.003419,0.157781,girls
t9Cmn8w36LI,0.938347,4.085698,4.80732,130.384608,5.18983,3548.993772,0.559778,3401.227196,10445.820422,0.812297,46009.605279,0.700228,1.611135,-0.214522,0.246293,-0.047137,0.131866,0.081307,-0.03445,0.071592,-0.059423,-0.00745,0.055814,0.030917,2061.240064,0.491256,938.744774,65.062852,69.543214,0.472604,-0.021183,0.160368,girls
u_cbkgWZaM8,0.840309,3.474674,4.001333,129.085397,3.804054,4248.707731,0.666921,3753.527774,11814.350227,0.837687,21770.76942,0.700264,0.690106,0.003856,0.260739,-0.055359,0.200129,-0.035075,0.019318,-0.039449,-0.069276,0.048226,0.090376,0.001727,2117.114428,0.514925,927.381966,69.619213,70.331032,0.390259,-0.024144,0.170872,girls
ulURkxonNpU,0.893065,3.820658,3.989333,111.800137,3.310858,2802.549854,0.481426,3093.126747,9356.23298,0.782433,28998.839719,0.68277,1.973254,-0.300664,0.229292,0.03206,0.007743,0.026449,0.026927,0.0772,0.177499,0.039317,0.07414,0.02424,1447.023217,0.509121,870.80862,60.685656,67.332921,0.405933,-0.017035,0.153087,mixed
u0DskPo_-dQ,0.943731,1.642842,4.058613,108.611717,4.702135,3559.843028,0.545927,3719.487744,11484.947051,0.819131,52860.984735,0.515539,1.830049,0.13577,0.321725,-0.07753,-0.035999,0.103155,0.088303,0.120183,-0.018713,0.066447,0.004085,0.080032,1951.313629,0.512315,885.837406,58.9763,65.906924,0.428282,-0.03108,0.158254,mixed
vB9IIv6xHBI,0.874376,5.041957,4.817313,120.285773,3.051908,3583.905685,0.527103,3418.902394,10684.1073,0.776956,19965.211364,0.829883,1.830097,-0.045763,0.513396,-0.126944,0.127608,-0.0402,-0.057953,-0.133199,-0.119372,0.004479,-0.021657,0.044901,2203.842405,0.549147,973.75906,65.120128,68.23942,0.403667,-0.010923,0.16081,girls
v_nZmNvP9J4,0.901089,3.480079,4.816231,123.878506,3.672656,3252.008713,0.4892,3606.864476,10613.738398,0.750226,9686.284194,0.664538,1.534193,-0.100189,0.44613,0.030451,0.133797,0.178955,-0.023392,-0.030688,-0.016225,0.042223,0.010635,0.103355,1232.354463,0.5511,853.532471,62.701889,67.258595,0.403229,-0.018721,0.171921,girls
vdWc1qLStAs,0.890037,4.201807,4.144285,129.018291,4.886118,3082.393798,0.493411,3296.66569,10159.35786,0.778563,20078.886381,0.785948,1.85142,0.158081,0.645284,-0.018288,0.096745,0.263499,-0.132224,0.005521,0.104643,0.032485,0.030721,-0.144408,1645.403624,0.487644,941.922907,63.093897,67.40511,0.45286,-0.010214,0.14884,mixed
viov3zTevto,0.88806,4.143689,4.131944,115.799579,1.694625,4073.09304,0.541192,4211.759736,12786.908725,0.799103,18776.501638,0.7017,1.808058,-0.110059,0.338414,-0.04018,-0.112272,0.015662,0.026417,-0.177729,0.200929,0.067876,-0.01223,-0.07671,2099.616986,0.534555,826.948807,61.407834,66.819085,0.442443,-0.012323,0.16065,girls
wI1q70-bcQE,0.891969,3.977141,4.178754,124.627438,4.735796,3429.933441,0.568097,3404.806262,10847.911391,0.791425,45763.44798,0.619672,1.52566,0.32754,1.107692,-0.160798,0.238051,0.193448,-0.194156,0.270558,-0.047832,0.055635,0.024981,0.020133,1822.245161,0.490323,951.585849,55.837796,64.25403,0.343848,-0.013079,0.166372,mixed
