stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_kurtosis_Mean,spectral_rolloff95_Mean,spectral_rolloff85_Mean,spectral_spectentropy_Mean,spectral_flatness_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
wxbvq4A02uQ,0.865186,3.738819,1392.305112,4.366238,116.83867,0.114947,2.039542,2879.883094,0.402777,3241.275209,14.461643,9617.65579,5654.052559,0.750871,0.112378,25614.459867,0.58891,2.750139,0.438137,0.531791,0.04921,0.342682,0.20774,-0.026745,-0.064657,-0.056311,0.013835,-0.014509,0.070233,0.039767,1480.085288,0.628998,851.846413,60.900084,65.834295,0.529784,0.011817,0.147466,mixed
w4zL859ehzU,0.917259,4.168024,3048.148073,4.198805,131.720189,0.06175,4.73133,3484.60158,0.535888,3626.956036,5.666454,11080.576088,7188.233939,0.792095,0.12736,43136.015689,0.691779,1.915997,-0.238002,0.608953,0.028746,0.179407,0.102005,0.053961,0.019084,-0.100133,-0.114346,-0.15625,-0.129358,-0.126659,1824.773096,0.491086,975.508682,60.888676,66.035687,0.446614,-0.022935,0.158095,mixed
xK9Miif2otY,0.902273,2.477619,1870.458757,3.860287,156.184286,0.078485,3.00318,2363.113786,0.453962,2770.629817,9.517421,8077.892379,4769.53319,0.755664,0.082861,44880.925498,0.496922,1.722854,-0.131332,0.40907,-0.070092,0.252198,0.046986,0.215752,0.149712,0.217971,0.097385,0.142177,-0.029084,0.008535,1081.73913,0.557453,613.415203,52.454191,64.63036,0.629037,0.012708,0.105988,mixed
xNGvheoGSrE,0.886031,5.666043,2630.147266,4.150156,133.881753,0.08376,2.904393,3869.096459,0.626296,3741.179152,5.60842,11745.520433,7777.583436,0.82217,0.147973,26058.189982,0.641266,1.156791,-0.539603,0.395377,0.019757,0.079811,0.056072,0.10814,0.03067,-0.020412,0.010604,-0.018438,-0.106032,-0.00873,2174.825532,0.539574,912.05779,61.899185,69.348747,0.462438,-0.008243,0.163677,mixed
xbTNEkONzCo,0.884983,4.172237,1980.549628,4.07469,110.023201,0.096863,4.023351,2858.163339,0.464637,3069.720731,9.641583,9177.019905,5450.19244,0.768054,0.109459,25120.347285,0.684036,2.13524,0.168949,0.459946,0.022422,0.034844,0.157177,0.006532,0.075904,0.009737,0.043046,0.037691,0.057189,0.08118,1567.297668,0.481481,818.186165,55.804478,63.608312,0.429394,0.003057,0.148196,boys
xfIDBV2R5fw,0.932148,4.313429,2452.021236,4.091147,136.409545,0.076495,5.312639,3526.456873,0.538369,3435.772221,6.322817,10535.746257,6887.605794,0.80245,0.13013,47534.004612,0.767159,1.85649,-0.286868,0.305669,-0.003672,0.174853,-0.008502,-0.0761,-0.030462,-0.037682,0.016227,-0.06487,-0.044085,-0.088553,2005.747724,0.50065,976.77027,65.880435,69.778995,0.46838,0.004081,0.154916,mixed
xmZqmEXulA4,0.922479,3.290109,1212.061047,4.122418,118.945185,0.081034,3.4974,4064.117039,0.529974,4255.062387,3.447799,12425.576503,9184.351542,0.803472,0.156518,15246.37642,0.668709,1.695087,0.571805,0.376067,0.277415,-0.024862,0.131725,0.074309,0.073226,0.058264,0.082654,0.003508,0.068015,0.009884,1627.007481,0.491272,882.396357,58.508319,63.307231,0.377638,-0.009628,0.161321,boys
x1Vhqc54Sgs,0.89269,4.074056,2727.304091,4.011438,109.660248,0.072479,3.358781,3344.082667,0.554576,3432.567858,6.316376,10508.480207,6733.361368,0.807697,0.134981,30733.344312,0.584621,1.602437,0.024334,0.540415,0.238688,0.1344,0.022046,0.018275,0.017488,0.005572,0.013878,-0.0058,0.091287,0.027538,1699.726516,0.530321,908.494655,60.626654,65.821993,0.423051,-0.030078,0.165795,mixed
yJ0v0wuokZE,0.946597,4.505575,2252.483439,3.967424,126.815059,0.115714,1.970271,4285.293564,0.645767,4058.343591,3.356195,12493.123673,9003.353779,0.853271,0.166831,16558.74683,0.455768,1.02391,0.059121,0.387226,0.155758,0.077454,0.082612,0.09377,0.000875,0.112695,0.095678,0.034541,0.037754,0.039911,2143.513957,0.472906,563.036459,51.177207,65.596812,0.709448,0.070149,0.116294,mixed
yQgb0LJUIlU,0.893482,4.067847,4573.32941,5.150465,122.071929,0.105909,6.741341,1915.00974,0.320043,2579.034576,24.976904,6703.30257,3867.330406,0.69309,0.078683,26481.095233,0.561399,2.848478,0.333367,0.695103,0.126312,0.088048,0.153959,0.079749,-0.368834,-0.27577,-0.118668,-0.135568,-0.084487,0.061284,985.920852,0.552511,566.970877,57.225514,63.128672,0.628337,0.04664,0.118565,mixed
yRUiwRKk6QM,0.886239,3.969209,1414.467016,4.350421,117.992185,0.094214,4.393586,3252.594287,0.551977,3289.396195,5.932918,9752.201651,6811.49186,0.810148,0.115287,32490.916083,0.59282,1.849797,0.127634,0.74002,0.009844,-0.011822,0.136772,-0.025132,-0.019405,-0.115292,0.02311,-0.077213,0.033078,0.054581,1794.097104,0.468484,920.482226,59.041513,65.657031,0.410091,-0.013162,0.157217,mixed
yVNl_oSo7bI,0.893651,1.054421,2487.165177,3.977239,125.50563,0.08413,4.300892,2842.978887,0.528017,2422.61195,13.214333,7275.371859,5086.222843,0.755068,0.058193,35743.134958,0.850151,1.750284,-0.099109,0.207474,-0.000478,0.064915,-0.045648,-0.095072,0.028526,-0.006286,0.093181,-0.092321,-0.0417,-0.06585,1939.274293,0.439114,948.923132,68.20825,70.200884,0.451018,-0.002489,0.166899,boys
yyyapflC9Wk,0.920588,5.515095,3107.921901,4.317413,125.994169,0.064267,5.676493,3065.956644,0.517956,3310.626849,7.239387,10133.990973,6298.061804,0.793055,0.122408,17946.362388,0.793701,2.004294,-0.124618,0.335884,-0.002999,-0.007554,-0.154944,-0.050209,0.027009,-0.039402,-0.084611,-0.023409,-0.139925,0.044977,1538.960396,0.514851,1064.941144,67.986184,70.235539,0.433786,-0.013718,0.173157,mixed
y6wJehV4tis,0.816199,7.186228,1945.946756,4.131757,119.894717,0.230588,1.832532,3368.192523,0.527363,3575.325176,6.302023,10899.61347,6951.118637,0.800301,0.139831,10471.953562,0.576554,1.788566,0.028695,0.083742,-0.096169,0.025561,-0.196941,-0.077016,-0.149611,-0.085068,-0.099332,0.026322,0.000991,0.051942,1747.28176,0.669979,767.062462,63.370629,69.070656,0.534055,-0.006337,0.149304,mixed
zNLbDvnYln0,0.861829,3.770365,2203.111306,4.125113,121.913141,0.094932,2.955422,3358.565393,0.489225,3726.480938,6.15058,11485.651577,7178.143843,0.779844,0.136665,16982.697921,0.583881,2.203605,0.241411,0.500571,0.256684,-0.086417,0.098319,-0.054708,0.037173,0.024144,0.000278,-0.042989,0.047808,-0.012575,1511.629435,0.549277,883.271126,62.658805,66.216088,0.4727,-0.020962,0.155329,mixed
zaOUWigiEVM,0.840148,3.651263,1500.873532,4.004757,115.986387,0.10696,2.745644,2134.332595,0.387094,2852.833764,15.498024,7866.443394,4328.76019,0.753072,0.10094,26031.894572,0.303179,2.216548,-0.057662,0.549256,-0.005559,0.172046,0.039572,0.120576,-0.011241,0.053836,-0.002557,0.043563,0.020963,-0.001651,880.053996,0.4946,667.007115,50.521152,62.488471,0.518126,-0.013233,0.163783,boys
zabpEcBueg8,0.899997,4.093659,2443.093918,4.334906,108.990874,0.071795,3.594796,2812.223896,0.444787,3209.496521,9.428907,9654.152889,5515.187477,0.750913,0.116791,25731.434686,0.590288,2.094713,0.27379,0.529045,0.196175,0.17158,0.318864,0.058282,0.025738,-0.10916,0.093661,-0.0369,-0.001601,-0.007655,1409.400922,0.482335,838.506307,55.73138,62.637037,0.385562,-0.01686,0.163311,boys
zgYKLgKXZjQ,0.938651,3.788215,3381.4117,4.281504,119.400616,0.07,4.000566,3002.907332,0.473038,3309.557399,8.902248,10073.041369,5915.023629,0.767678,0.12144,56498.781576,0.495959,2.090721,0.384196,0.890531,-0.108855,0.267221,0.160296,-0.023378,0.25241,0.01259,0.035478,0.092221,0.065735,-0.015746,1470.95064,0.502742,886.013733,50.941176,61.679509,0.401742,-0.013928,0.167056,mixed
zg1nAydNm_A,0.932556,3.077144,2033.774155,3.983223,129.069501,0.073187,4.301856,3545.019815,0.585968,3593.105444,4.963674,11162.324268,7227.140506,0.828629,0.130054,43414.369318,0.495243,1.466806,0.090254,0.715256,0.078764,0.098076,0.143303,0.073461,0.00503,0.110946,0.074371,0.069983,0.020036,0.106609,2001.339869,0.531046,904.649926,54.886755,64.901892,0.471429,-0.001617,0.161843,boys
zqvBh_9EQSc,0.901949,4.324763,978.919655,4.584128,116.9975,0.108269,1.616803,2363.27671,0.393192,2908.530724,14.164766,8218.619073,5023.451748,0.754498,0.090696,30235.857317,0.378044,2.594802,0.058768,0.390235,-0.128648,0.158864,-0.3,0.123484,-0.081066,0.122002,0.269361,0.058508,0.193182,-0.019871,1156.8801,0.558694,616.09419,51.576175,62.682327,0.563161,0.021288,0.115647,mixed
0YThUgMIgac,0.955821,3.770644,1805.553443,4.016277,117.840428,0.0766,3.156425,4419.541394,0.624476,4116.108064,3.83707,12579.007975,9274.772135,0.825462,0.150671,34660.449896,0.716106,1.410412,0.041749,0.786629,0.279389,0.135882,0.485491,-0.151597,0.162762,0.074691,0.135987,-0.012178,0.162965,0.066972,2334.735484,0.455484,928.882387,59.214544,66.889001,0.456003,-0.017261,0.147237,mixed
0nAk-a4j7dE,0.909061,3.556478,1980.601546,4.073939,149.285975,0.076906,3.92335,3343.296834,0.495106,3503.269635,6.208094,10704.828541,6857.91328,0.790894,0.127088,30747.393289,0.70756,2.164818,0.140096,0.056091,0.080193,-0.014292,-0.050792,0.089295,0.008954,-0.033865,-0.088385,-0.036681,-0.02497,-0.030275,1820.194049,0.477361,928.933918,65.307891,68.250226,0.515311,-0.018428,0.158906,mixed
1cBoo3E5b3Y,0.896491,2.086827,3752.80881,3.978119,136.365569,0.08459,3.192861,2965.623491,0.480424,3454.020805,6.727323,10581.941396,6346.356642,0.791506,0.11785,32311.457703,0.592368,2.127777,-0.021944,0.231922,-0.07253,-0.109469,0.068943,-0.136131,0.204371,-0.05518,0.085593,0.045747,-0.023591,0.071234,1413.140496,0.570248,855.516831,57.508306,66.48737,0.524077,0.016839,0.157257,mixed
1svuTm2KSiw,0.873478,3.814673,2035.735458,4.158925,114.060903,0.094071,3.146836,3200.582843,0.541092,3307.437419,7.538935,10044.593811,6195.162964,0.802456,0.127503,31385.729544,0.590285,1.719802,0.0659,0.863318,0.034669,0.106431,0.109704,0.067311,-0.090749,0.088345,0.015988,0.045173,-0.028938,0.032376,1726.683354,0.579474,911.414524,61.645387,66.683448,0.449824,-0.008606,0.160889,boys
1y538s1N3To,0.936522,4.003403,1378.884042,4.841889,130.640294,0.072028,3.788276,3244.67006,0.514197,3450.513346,6.123512,10569.503945,6669.484671,0.797099,0.130541,26405.72832,0.771135,1.797161,0.135543,0.243965,0.025272,0.207261,-0.139613,-0.025485,0.079181,0.038246,-0.009423,-0.04945,-0.043231,-0.163145,1698.894096,0.480787,939.122199,61.595863,67.570845,0.461774,-0.006369,0.149901,mixed
2-m3SEGs0kM,0.858592,3.672227,2340.09359,4.069485,116.787687,0.077982,4.919993,3174.234309,0.532299,3350.686962,7.607105,10259.69864,6208.62624,0.768501,0.123719,30155.74436,0.665831,1.69863,-0.119535,0.578432,0.473138,0.027406,0.093897,0.118144,0.189899,-0.176649,0.098179,0.021439,0.032841,-0.042108,1540.21978,0.528472,923.307739,59.534562,66.255448,0.390744,-0.005881,0.146438,mixed
2J7ZM8U9bw0,0.90184,3.463672,2699.626354,4.05662,142.554669,0.079208,4.334295,3880.351044,0.59742,3714.441741,5.007978,11527.021032,7702.054068,0.830121,0.144306,27072.742587,0.701963,1.531767,-0.192276,0.368756,-0.034875,0.09561,-0.075421,0.09517,0.060658,0.131761,-0.031814,0.087941,-0.03595,0.03491,2270.17331,0.592721,984.701634,62.998624,68.595963,0.454401,0.012036,0.154321,mixed
2dgTRykXw1E,0.896131,5.67408,2265.153746,4.649697,138.064671,0.145157,3.133099,2876.372527,0.500583,3439.326071,7.453145,10207.118376,6230.143985,0.790027,0.131729,21050.859172,0.527563,1.543754,-0.305126,0.801388,0.190415,0.252447,0.077619,0.154258,0.183314,0.163123,0.049226,0.012406,0.069232,0.132575,1028.38438,0.6317,647.335205,47.787824,61.698417,0.558727,-0.020718,0.142738,boys
02qnqWCCdaI,0.957386,4.650098,1113.081554,4.73047,117.771441,0.098108,2.208805,3014.08649,0.571083,3105.054186,7.236691,9409.013017,6052.428313,0.803918,0.113628,38930.332652,0.675731,1.284819,-0.196147,0.641963,0.164332,0.25952,0.089517,0.144003,0.083667,0.079695,0.073429,0.054974,-0.012612,-0.014533,1630.875099,0.543357,668.547711,56.26189,66.412185,0.621689,-0.001077,0.121551,boys
3IT9g-IHkcE,0.810651,3.003229,2767.300888,4.251047,117.094686,0.10149,3.970249,2882.505978,0.454217,3222.85702,8.280017,9703.679946,5943.573371,0.775815,0.11137,12876.024544,0.707032,2.355389,0.026245,0.3263,0.013035,-0.070041,0.083582,-0.102038,0.081982,0.045591,-0.00516,0.15211,-0.041799,-0.082232,1414.860884,0.567921,892.426201,64.754386,67.526687,0.426916,-0.020502,0.16843,mixed
3cZMIJq5gis,0.904704,4.42464,3371.807005,4.765293,122.656647,0.084602,2.866416,3434.562398,0.510957,3733.634749,6.314608,11311.959839,7293.606186,0.801373,0.141487,24138.492805,0.586991,2.083786,-0.007245,0.363501,0.004949,0.058176,0.134136,-0.002745,0.098122,-0.06326,0.073012,-0.01356,0.067075,-0.063519,1666.054889,0.516295,898.994531,61.24983,67.01353,0.416769,-0.01117,0.167799,mixed
3vqm0DO40gU,0.952941,3.351287,1175.077138,4.126362,113.548141,0.078346,2.735461,2414.461509,0.4557,2749.185685,14.67662,7807.729979,4644.221958,0.752486,0.096827,25075.478882,0.691197,1.900273,-0.554719,0.604709,-0.011647,0.223331,0.193468,0.140898,0.174981,0.070852,0.033484,0.00357,-0.0612,0.062396,1132.937347,0.513426,748.074223,59.394907,66.537747,0.467553,-0.02508,0.165877,boys
4Hl1wINuquM,0.862954,3.827593,1647.013039,3.969322,132.646128,0.107835,1.875454,3397.082607,0.475773,3721.774009,12.992846,10936.111987,7375.92567,0.783063,0.138131,17186.02536,0.489964,2.206495,0.268484,0.163623,0.032573,0.13055,0.046993,0.050416,0.01642,-0.034288,-0.017422,-0.018231,0.015724,0.094902,1538.055358,0.543648,744.79865,57.597315,64.673817,0.498182,-0.015246,0.126566,mixed
04YHrUko8yI,0.9205,2.820609,2293.103544,4.355271,105.02404,0.082039,4.136873,2930.516539,0.42751,3356.885709,9.694756,9981.281632,6035.181726,0.765071,0.115199,25823.740385,0.605244,2.375159,0.189885,0.346389,0.163713,0.222593,0.201981,0.055403,0.03741,-0.002336,0.116587,-0.075035,-0.063452,-0.030244,1330.809816,0.511656,875.139663,57.089719,63.508872,0.409803,-0.00901,0.160954,boys
4bLSlZyZRXc,0.948447,3.601671,2946.375069,3.989298,133.902613,0.065484,4.509165,4053.064837,0.553789,3974.838345,3.48708,11793.380136,8786.579477,0.816122,0.137532,37664.267895,0.710763,1.542834,0.502909,0.406772,0.206693,0.014805,0.124695,0.063447,0.124015,0.080007,0.100387,0.119694,-0.005966,0.071006,1889.484663,0.434356,914.004342,53.614052,62.490456,0.430212,-0.011468,0.158092,boys
4ih5OAZKZQA,0.882621,3.749602,2194.010603,4.105613,109.672747,0.100857,2.905045,2370.089695,0.47756,2649.078089,12.488191,7732.445457,4375.196145,0.756204,0.087867,22689.103658,0.69041,2.01859,-0.42403,0.623122,-0.072793,0.203441,0.105835,0.078135,0.067272,0.025044,0.055731,0.05647,0.026354,0.040615,1272.481481,0.509877,882.767901,59.540434,66.97834,0.397565,-0.002408,0.163562,mixed
04ww4xZ8pH4,0.892719,2.067813,2145.689845,4.116113,127.280983,0.087692,3.642473,4020.930003,0.614384,4029.562651,4.470587,12758.349209,8365.678871,0.832277,0.159766,23816.267662,0.472218,1.092145,-0.361715,0.510414,-0.122511,0.135281,0.060811,0.175476,0.015917,0.068492,-0.042951,0.138904,-0.005414,0.064788,2109.707835,0.423639,702.520907,54.624207,65.683894,0.390121,-0.003409,0.169064,mixed
5PEpjVowR90,0.83998,3.46371,1646.280991,4.570138,129.903906,0.111306,3.176861,2854.762645,0.439776,3363.144321,8.406146,10055.328315,5757.643978,0.758351,0.126828,15187.014996,0.673401,2.049082,0.335093,0.432684,0.077488,0.238143,0.088995,0.121867,-0.007011,0.161358,0.08437,0.033701,0.064788,0.042143,1250.565854,0.576585,763.979117,60.107184,63.903113,0.500564,-0.034389,0.162488,boys
5P9kXntCLPw,0.931194,2.481127,1859.387211,4.011758,147.134091,0.071146,3.778416,3916.466526,0.611867,3813.196131,4.346405,11999.973989,8041.372025,0.838466,0.154518,35511.194692,0.615119,1.233805,0.11062,0.482351,0.07934,0.136418,0.168816,0.161752,0.05462,0.112873,0.134126,-0.052569,-0.0403,-0.085276,2104.773609,0.543338,934.747306,58.749609,66.128298,0.491978,0.005751,0.157877,mixed
5RVqzWqVpME,0.89241,3.761508,4068.037937,4.376737,117.85437,0.079621,2.541975,3703.714761,0.533776,3951.303188,6.119455,11957.280583,7832.804208,0.781238,0.147545,10514.010329,0.687987,1.445055,0.156829,0.433971,0.029257,0.147508,-0.038819,0.035541,-0.144496,-0.104051,0.027151,0.055187,0.024233,0.157765,1637.70903,0.521739,922.476651,65.468456,67.609051,0.415856,-0.015747,0.169005,mixed
5cU-BzR-fek,0.850985,3.995873,2465.325976,3.953178,119.370105,0.090123,3.718386,3196.67939,0.527734,3221.275617,7.652171,9697.688948,6314.260282,0.788234,0.103468,18748.68029,0.710041,1.607196,0.101079,0.211017,0.08464,0.069411,0.08978,0.090455,-0.076213,0.089577,0.003917,0.064882,0.092161,0.032855,1697.47929,0.556213,944.585039,64.625124,67.550084,0.397441,-0.008671,0.160829,mixed
5cthvmrEpJ4,0.846992,4.259564,1278.711927,4.287177,111.871593,0.112215,2.853374,3192.216109,0.492732,3417.463785,7.02034,10598.730327,6397.18594,0.781073,0.128815,17910.07335,0.598264,1.818106,0.298827,0.470704,-0.061906,0.142639,-0.082515,0.184556,-0.038648,0.028161,0.122668,-0.027337,0.181833,0.086042,1558.753933,0.548143,888.283488,59.015889,65.065692,0.416066,-0.012538,0.159219,boys
5fxq9sCyMqM,0.917312,4.144972,2909.371008,4.517419,113.81386,0.075421,4.967328,4079.998802,0.583191,3631.950987,5.837196,11428.326988,7718.37759,0.808479,0.135383,62374.446174,0.77277,1.759448,-0.161564,0.359646,-0.332659,0.056173,-0.07703,0.05686,-0.070405,-0.172572,-0.057132,-0.071844,-0.07008,-0.094329,2610.635538,0.457847,1046.375779,68.753838,70.979695,0.410816,-0.022996,0.163526,mixed
5o0l0bpeTaQ,0.864185,3.427262,4201.660722,4.546795,107.266555,0.09,2.800888,3745.011924,0.547425,3743.785485,4.73148,11559.486052,7776.581518,0.817335,0.141457,16009.308411,0.521391,1.883241,0.442873,0.163058,-0.033888,-0.049882,-0.02317,0.078379,0.06538,0.072524,-0.003927,0.008916,-0.02131,0.041384,2034.961598,0.565284,911.080824,62.899267,66.223164,0.451078,-0.011769,0.167824,mixed
6Pv0_aeYoCE,0.865113,4.272991,2138.87221,4.175947,114.125292,0.093947,3.872201,3669.63783,0.569719,3468.725481,6.026884,10948.855651,7013.938665,0.797462,0.135573,21057.967481,0.777591,1.419476,-0.024966,0.380575,-0.135747,0.202654,0.047589,0.040217,-0.015708,-0.072146,-0.023364,-0.011568,0.010067,0.110201,2158.387097,0.552258,963.021531,66.075501,69.2648,0.454501,-0.020155,0.168676,mixed
6ZhSFjnUvBs,0.940835,3.556002,1801.821109,4.39425,110.418217,0.073237,3.025002,4276.533679,0.554519,4074.475133,6.131903,11741.858095,8835.428504,0.831289,0.164536,43342.605558,0.525645,1.880227,0.244395,0.016856,0.250716,0.237661,0.22647,0.092383,0.043624,0.042867,0.063923,0.021637,0.04849,0.023705,2071.933054,0.444351,668.742635,51.843853,62.702871,0.493073,0.003585,0.14045,boys
06_OXzp1jh0,0.810695,4.500971,3421.469206,4.03266,108.461785,0.101395,3.353323,3232.694349,0.533712,3214.714872,8.195298,9915.620901,6163.892493,0.783841,0.129528,18016.589598,0.643425,1.460677,0.13856,0.42152,0.042655,0.074942,0.186234,-0.000525,-0.031715,0.074944,-0.071144,0.057403,-0.09946,-0.041027,1766.436782,0.565517,908.112115,62.368069,67.46064,0.386886,-0.021826,0.170559,mixed
6cYp20jojU0,0.852077,3.143706,3429.01222,4.09258,115.713901,0.062857,7.143732,2954.391079,0.461374,3242.061155,8.931766,9811.591629,5777.48834,0.762464,0.111147,19369.810353,0.7487,1.869246,0.184131,0.418136,-0.1601,0.138634,0.122517,-0.107311,0.153754,-0.006234,0.047006,-0.023423,0.051352,-0.098382,1406.774194,0.483871,976.202168,64.112994,67.363852,0.355825,-0.00929,0.157494,mixed
6q8reMr7gNA,0.947449,3.935646,3437.403365,4.74557,107.930427,0.067327,5.099115,4260.32172,0.608046,3992.37826,3.309345,11761.191504,9067.359082,0.829732,0.144005,38092.514317,0.624412,1.659433,0.395352,0.669844,-0.179395,0.157647,0.159576,0.089689,-0.096214,0.030948,-0.087132,0.078696,-0.058185,0.086218,2473.266932,0.47676,863.255339,56.855946,65.825991,0.558598,-0.010345,0.14978,mixed
7V_e5xlmSqM,0.929523,4.49375,1616.49741,3.997689,139.490002,0.098824,3.375331,3742.898554,0.616328,3397.635909,5.600487,10442.474879,7277.836544,0.832925,0.13188,34030.281557,0.729492,1.156508,0.129877,0.335122,-0.036865,0.077282,0.033687,0.131852,-0.038111,-0.024218,0.002447,0.005455,0.080737,0.025515,2152.00542,0.612466,900.950862,58.053369,67.021458,0.42387,-0.00776,0.154343,boys
7ZEF-H-Cyno,0.899832,4.116401,2668.650878,4.562853,145.986448,0.085238,3.582282,2955.238584,0.522837,3097.285278,10.049521,9457.061599,5607.634722,0.781838,0.116945,20586.577941,0.727888,1.727542,-0.451551,0.443973,-0.398189,0.130231,-0.014762,0.016501,0.064747,0.007739,-0.000402,0.107237,0.038838,0.0556,1593.534799,0.556777,991.132195,68.522182,70.41551,0.414212,-0.002801,0.167904,mixed
8Dq2peBijDw,0.947862,3.880834,2855.812308,4.204081,124.346372,0.072692,3.472622,2329.762366,0.397163,2740.765552,14.071965,7786.25514,4503.839433,0.753513,0.088655,29592.146101,0.678405,2.624198,-0.065079,0.243575,0.014114,0.068862,-0.092696,-0.110444,0.066548,-0.151519,-0.034048,0.015354,-0.109403,0.184962,1219.634146,0.520906,931.03194,65.548789,67.244716,0.483082,0.002208,0.15147,mixed
8ZKSazAgj7Q,0.905402,2.138438,2225.352243,4.038016,110.490739,0.104694,2.392761,3717.559871,0.533666,3907.132311,4.346369,11858.205838,8028.466797,0.817601,0.155497,24292.165206,0.506245,1.760953,0.134011,0.181019,0.261915,0.143119,0.189378,0.113552,-0.033807,-0.005657,0.054932,0.005923,0.007766,0.038549,1691.579861,0.532986,746.521366,55.07474,63.672983,0.434583,-0.018095,0.150423,boys
8Zc4RGbyQ8g,0.757341,3.957061,2058.233851,4.41689,129.928773,0.304828,2.484121,2372.379817,0.377452,2848.989426,12.743923,8337.140391,4660.72699,0.74706,0.08687,24250.15469,0.491829,2.784349,0.054358,0.235006,-0.031701,0.040986,-0.09437,-0.057901,-0.123301,0.009624,0.040941,-0.050129,-0.000802,0.059952,1320.828829,0.616216,686.981319,62.040057,66.360779,0.494635,-0.008244,0.140391,mixed
8lAb35KuYVw,0.954757,1.318007,2608.374622,4.023643,121.567722,0.063248,5.000392,2549.247609,0.469415,2872.018942,11.295597,8450.031207,4797.664224,0.761212,0.103206,41481.175421,0.5998,1.833614,-0.234885,0.777979,0.033935,0.287882,0.334255,-0.04001,0.261608,0.201101,0.196081,0.005953,0.107157,0.104628,1183.843188,0.392031,850.155418,50.676547,62.663564,0.423492,0.003123,0.141632,mixed
8on6Bja3ymY,0.926656,3.409171,2362.567071,4.636953,133.945513,0.072,5.397886,3940.943839,0.585062,3749.546395,4.673397,11703.597932,7989.546793,0.829797,0.154281,39429.972012,0.696931,1.484944,-0.006988,0.453223,0.129953,0.048567,0.177772,-0.043303,0.028295,0.067453,0.127743,0.069643,0.110445,0.110627,2236.896552,0.500821,1001.766099,61.683833,66.778785,0.438329,-0.02065,0.15105,boys
8y6pDQTKjrk,0.965146,3.772804,1748.894418,4.609535,160.891451,0.059846,5.802393,3843.80588,0.56236,3784.785221,4.780545,11753.343773,7821.86594,0.825024,0.148265,64699.691257,0.635729,1.782941,0.316954,0.413394,0.167491,0.130784,0.175379,0.055495,0.001298,-0.068596,-0.009362,0.013588,-0.024762,0.026691,2190.285344,0.472114,970.967973,59.644831,65.819766,0.492072,-0.031882,0.156917,mixed
9AVeLwg2LAw,0.85031,2.478477,2465.697035,4.034042,125.128362,0.08,3.51244,3272.689662,0.537362,3408.139129,6.307212,10505.649508,6494.952393,0.800873,0.12822,35743.689848,0.620273,1.794486,0.203429,0.438905,0.01458,0.053068,0.216412,-0.073311,0.011169,0.078322,-0.115019,0.086672,0.011607,0.044331,1713.759036,0.533735,892.799331,63.920951,67.866004,0.439559,-0.025181,0.158517,boys
9CRrye6_oFo,0.910871,3.97231,1809.435443,4.257865,126.94279,0.078947,6.462005,3518.391117,0.585048,3476.503385,4.858585,10718.822532,7226.965048,0.829828,0.137644,33078.671364,0.750538,1.526296,0.100968,0.447763,0.041332,0.082969,0.012434,0.017808,0.045532,0.03756,0.034862,0.060564,-0.002951,-0.031353,1934.403292,0.516049,998.770662,60.569719,66.871394,0.402307,-0.010576,0.148278,boys
9IDLZyqx-60,0.91988,3.132756,1484.589436,4.257865,125.639026,0.077806,4.731538,3109.117026,0.560134,3163.64898,8.186026,9611.508234,6031.138894,0.804718,0.120278,30333.770464,0.714517,1.545931,-0.282663,0.484084,-0.051074,0.004526,-0.09204,0.097826,0.052633,-0.072571,0.000614,0.058336,0.044275,0.053921,1720.264055,0.500852,950.50984,64.453967,68.523989,0.404909,-0.022849,0.156334,boys
11tm3fB0E2g,0.938474,4.320912,2869.210969,4.187909,121.498578,0.080778,4.353825,3494.26253,0.529367,3466.659686,7.306635,10533.78457,6929.915918,0.796209,0.128572,41170.677597,0.736392,1.880545,-0.090504,0.417346,-0.00379,0.016034,0.241693,0.063641,0.044615,0.071052,0.034737,0.104624,0.124856,0.093459,1899.94702,0.447682,922.648418,57.876569,65.35659,0.421644,-0.013002,0.15847,mixed
14kqmlI3G80,0.950094,4.27155,1603.15128,4.037235,122.793588,0.063468,3.956688,3285.871708,0.518558,3582.354492,5.828552,10811.043938,6965.579839,0.804874,0.140232,33142.717172,0.544851,1.538451,0.323172,0.706445,0.274717,0.085001,0.19382,0.214985,-0.029878,0.310826,0.094223,0.117253,0.01079,0.054801,1527.019355,0.503226,867.777117,53.98509,62.771637,0.461942,-0.035454,0.163038,boys
