stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_kurtosis_Mean,spectral_rolloff95_Mean,spectral_rolloff85_Mean,spectral_spectentropy_Mean,spectral_flatness_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
n2SA7dZQWyU,0.893583,4.256993,2469.400149,4.124582,113.093855,0.097879,3.584611,3250.196308,0.52709,3198.906117,8.421967,9713.935547,6090.566981,0.771157,0.124248,15196.523211,0.918612,1.615611,-0.142931,0.316696,-0.300288,-0.211962,-0.039809,0.385444,0.241725,-0.257256,-0.14858,-0.13749,-0.088019,-0.033924,1828.128079,0.494253,945.65772,67.751319,69.217631,0.386503,-0.026767,0.16232,mixed
n33_dTKSLTo,0.902635,3.525559,912.657856,4.864562,132.49452,0.146714,1.793874,2205.20541,0.413609,2767.840238,10.514497,7773.733219,4545.835224,0.761478,0.090688,30035.4961,0.520208,2.134658,0.101457,0.607057,0.022523,0.255684,0.060384,0.047173,-0.012023,-0.040628,-0.081583,-0.012156,-0.052096,-0.055061,1036.295929,0.544191,562.322618,54.083268,63.376792,0.590386,0.032022,0.129998,boys
oBedP34gnXw,0.917743,3.189106,2207.000027,4.719621,99.897353,0.080567,5.017781,3042.473322,0.547146,2905.377766,7.077989,8874.721621,5977.399643,0.786256,0.081365,39123.738268,0.788118,1.464638,0.078013,0.5717,0.300972,-0.012909,0.101698,-0.041764,0.049765,0.081349,0.040425,-0.008158,0.071977,-0.01427,1859.168026,0.464927,1010.325079,61.696891,66.690332,0.421207,-0.008466,0.153185,boys
oRr55oLW8Y8,0.876749,2.793674,2291.085526,3.976949,149.154983,0.092179,2.838638,3675.923001,0.580976,3640.91279,5.117651,11446.604188,7424.617148,0.819673,0.141757,31662.489446,0.521488,1.317821,-0.03185,0.188817,-0.064537,0.122359,-0.05743,0.213503,0.043937,0.188481,0.063681,0.068444,-0.043208,0.023022,1918.777506,0.513447,839.548342,58.270758,68.225421,0.438136,-0.020351,0.153432,mixed
pTe7yJS0mqU,0.875548,3.465023,3446.187165,4.626783,161.165653,0.072909,6.655106,3895.930037,0.582584,3586.026675,5.286758,11275.389783,7594.113685,0.81903,0.148463,40042.288209,0.662036,1.475719,-0.008755,0.481803,0.103428,0.046061,0.234993,-0.069098,0.03957,0.026885,0.143247,0.067041,0.099928,0.088458,2263.814181,0.496333,1003.913397,63.251227,67.40258,0.411408,-0.016125,0.152406,boys
p_6ua9LLqy0,0.915644,3.675008,2470.178268,4.262806,132.491351,0.077938,5.121557,3117.340221,0.477185,3416.147607,7.633538,10363.198242,6316.713867,0.778381,0.126251,20063.521955,0.835379,2.180863,0.106519,0.266728,0.218328,-0.037397,0.087195,0.118455,-0.015555,0.081432,-0.017372,0.020408,-0.066511,-0.016261,1565.818908,0.508655,978.160418,64.999475,67.294968,0.428903,-0.009687,0.157843,mixed
ptE7EHKWG50,0.962871,4.158891,1299.265017,4.116218,125.506751,0.077483,3.598874,3436.952848,0.566845,3446.819727,6.18271,10655.514036,6907.658173,0.825047,0.129244,62063.936118,0.572398,1.765012,-0.105012,0.631346,-0.039841,0.055466,-0.033551,0.118701,-0.040536,0.063698,0.139127,0.01221,0.070603,-0.029699,2048.813993,0.465017,868.403728,57.329511,66.770201,0.57201,0.035856,0.148379,mixed
qLI0PnzmYKA,0.933766,3.718387,1385.433296,4.663427,129.091556,0.076174,4.21571,3377.016153,0.5288,3590.014244,6.21507,11088.384316,7033.507525,0.801673,0.136396,48107.88786,0.666397,1.779586,-0.070756,0.438472,0.035836,0.050051,0.108108,0.077968,0.091185,0.052568,0.06175,0.061752,0.124268,0.044946,1677.589658,0.522102,922.308591,59.03083,65.986413,0.450266,-0.030045,0.163622,mixed
qMYgXfbpM3E,0.687444,3.652895,2765.335266,4.52404,107.97769,0.223978,1.555173,3841.315669,0.580486,3490.910851,6.024194,10934.437085,7380.060545,0.797747,0.137741,20807.282832,0.388309,1.128196,0.272812,0.145319,-0.178904,0.015561,-0.007512,0.052389,0.210949,-0.009204,0.041484,-0.062853,-0.106203,0.000628,2233.021346,0.674877,815.419958,62.03781,67.271907,0.425274,-0.042407,0.172686,mixed
qkvhvZQW2rM,0.897086,7.002635,2141.967609,4.881601,108.63892,0.088011,4.636053,3270.738371,0.448576,3826.324103,5.429862,11477.610609,7291.213437,0.77303,0.131309,12816.307821,0.686304,2.35232,0.245973,0.307508,0.133028,0.014622,0.149559,0.113313,-0.135841,0.005014,-0.076722,-0.001491,0.016921,-0.08047,1436.786679,0.517552,863.073321,61.472133,66.023979,0.499496,0.001764,0.162387,mixed
qqV8wfRzDrA,0.912052,4.136466,1930.962484,4.07471,146.087772,0.076771,3.972089,3311.509346,0.489827,3537.977037,6.33239,10832.068758,6819.340711,0.789763,0.131447,32316.025763,0.718996,2.167472,0.105608,0.064888,0.073331,-0.002128,-0.02591,0.095995,0.014305,-0.043893,-0.084414,-0.030461,-0.017009,-0.028248,1778.497409,0.496114,938.153266,65.315083,68.117078,0.496311,-0.018764,0.160186,mixed
q1S6UjO6rgQ,0.921684,3.559282,2802.205358,4.286211,131.466527,0.082391,3.371229,3542.360815,0.526619,3793.320446,5.057027,11417.953973,7598.684211,0.803154,0.139305,21778.538796,0.662846,1.633465,0.133502,0.25168,0.00502,0.227502,0.015381,0.082273,0.036797,0.077064,0.019815,0.083542,-0.053761,-0.006448,1687.780549,0.532419,862.671447,54.433711,66.089238,0.527369,0.003376,0.138892,mixed
rBnSfDaDVQI,0.869897,5.331262,1798.84595,4.263657,122.230471,0.09226,3.333466,4088.815123,0.582801,3936.544456,5.240035,12102.730302,8340.915078,0.820498,0.158779,15963.954505,0.620096,1.470632,0.159727,0.44683,0.12742,0.046758,-0.110605,0.038936,0.066828,0.12807,0.115437,0.063856,0.047502,-0.000626,2319.294218,0.554422,844.538399,59.652406,66.580685,0.415702,-0.022042,0.164807,boys
rJkc-PV3my0,0.898507,4.090596,2263.653057,4.255659,115.774958,0.085924,5.152258,2943.362671,0.425198,3469.028337,6.853932,10604.392053,6111.38538,0.751783,0.111205,29014.270755,0.700936,2.271895,0.499474,0.709977,0.277486,0.159114,0.083661,0.158357,0.06101,0.071319,-0.031092,0.031169,0.173983,-0.00124,1224.436202,0.391691,817.256382,58.588511,63.377895,0.436995,-0.0053,0.166865,boys
rKe2vkFIUbY,0.911034,3.312006,2042.291235,3.916385,135.453316,0.099375,3.084715,2642.492763,0.52981,2999.568342,11.425954,8934.870245,5022.041556,0.780752,0.10817,56780.126341,0.551477,1.888074,-0.567821,0.775029,0.178707,-0.031003,0.095804,0.117124,-0.293536,-0.231572,0.054763,0.063377,-0.1776,-0.076576,1400.548173,0.528239,819.264459,63.521108,69.066354,0.467232,-0.003239,0.150734,boys
rjCh8YafGhQ,0.960004,3.543976,3082.733517,4.530033,141.8144,0.079184,3.908562,3297.606633,0.58619,3040.595356,7.942017,9548.788499,6021.843074,0.796474,0.119096,39607.738097,0.912872,1.374368,-0.670374,0.246468,0.296666,0.297736,0.237937,-0.012093,-0.037509,-0.117281,-0.038664,0.02352,-0.175885,-0.038579,2088.498728,0.430025,880.616532,66.162245,70.527162,0.406902,-0.011578,0.161096,mixed
rkmGVKQwMOA,0.896067,4.246641,1914.585269,4.137481,126.724232,0.080208,4.408075,3280.654093,0.519468,3296.489361,7.853198,10137.238306,6204.829411,0.779259,0.118745,39592.61598,0.782191,2.032699,0.142486,0.760514,-0.210851,0.124503,0.123312,-0.062568,0.071334,-0.088188,-0.021842,-0.039471,0.071687,-0.005709,1891.332471,0.510996,938.758593,61.247683,66.853468,0.43056,-0.000283,0.157496,boys
s-Q4sffZjo8,0.927024,4.962841,1616.998428,3.99842,146.798515,0.078051,3.743562,2456.595572,0.504368,2773.429106,10.254441,7958.401877,4959.820009,0.785569,0.099337,31807.256129,0.458981,1.536782,-0.067834,0.936689,0.041644,0.289218,-0.129458,0.086264,-0.029464,0.30552,0.087893,-0.09022,0.017394,0.049613,1122.440339,0.421863,653.639239,50.59,64.008435,0.631706,0.054521,0.138498,boys
sS_hpPzuLQ8,0.864816,1.545173,1885.474189,4.291709,114.595116,0.109524,0.453546,2833.950466,0.431372,3096.814066,10.635921,9086.804669,5452.300204,0.733434,0.115379,3574.202035,0.441551,2.034822,0.553924,0.628865,0.335944,0.185088,0.291527,0.079804,0.077112,0.024907,0.114258,0.09858,0.052688,0.127195,1462.855464,0.428907,849.316652,56.357712,61.957411,0.343095,-0.013911,0.155172,boys
sv3SUIunbL0,0.936937,4.200697,1940.239792,4.278448,119.953145,0.092346,4.198676,3403.966519,0.555724,3385.08508,6.725405,10357.319834,6616.248103,0.803279,0.131631,50608.999159,0.680872,1.399082,0.076381,0.443623,-0.221629,0.053173,0.161552,0.151577,-0.031449,0.017447,0.080609,-0.037452,-0.063118,-0.09444,1853.011292,0.506901,869.512668,60.023774,67.373412,0.447409,-0.012541,0.155161,boys
sy-d6oJXqdE,0.924972,3.654744,1970.982222,4.181288,122.804871,0.092289,3.25142,2729.239455,0.520009,2884.252109,9.619627,8689.651006,5130.10644,0.789272,0.107042,29034.028833,0.793855,1.886466,-0.502812,0.329901,-0.237982,-0.000351,-0.036001,0.080674,0.151051,-0.020067,-0.091585,-0.030967,-0.041973,0.038934,1528.940397,0.540397,890.901731,67.358264,70.534848,0.439167,-0.02113,0.155787,mixed
s6K40WoEq78,0.943297,3.043626,2202.228833,4.128127,129.501734,0.134872,3.159384,2734.44235,0.55577,2685.094115,8.289065,7923.647794,5536.928766,0.801668,0.073614,39663.96394,0.497779,1.271966,-0.031473,0.68988,0.115458,0.258502,0.046506,0.177744,-0.063366,0.153712,0.012146,0.080366,-0.086058,0.108379,1562.817164,0.541045,653.276909,52.797187,64.805982,0.581669,0.012905,0.122838,boys
s6YcdEEF2H4,0.885785,3.311798,1890.133421,4.080116,128.388705,0.079205,3.507287,3215.483712,0.562434,3397.879233,5.889292,10273.689053,6720.122746,0.811503,0.135273,22631.1249,0.581473,1.163865,-0.125813,0.509602,0.105769,0.01134,0.181319,0.148319,-0.034827,0.099796,0.07302,0.055122,0.036742,-0.012994,1403.619403,0.514925,873.999825,56.609896,65.478521,0.394375,-0.010184,0.157545,boys
s8U8-dAaS0Y,0.874597,1.675149,4382.687897,3.998872,140.212197,0.10625,3.608593,3332.895098,0.508865,3118.352963,11.972426,9113.14874,6241.096876,0.774144,0.104426,27410.558334,0.731201,2.033099,0.225654,0.10069,0.023611,0.051979,-0.361069,0.00183,-0.015611,0.090664,-0.062009,0.076676,-0.092089,-0.019836,2015.591398,0.574194,861.276501,62.07993,66.973214,0.488861,-0.019538,0.145882,mixed
tDuM3Kd5fs4,0.923613,3.553531,2153.093046,4.050824,101.278902,0.064773,4.833285,3589.897512,0.645593,3135.145802,4.686792,9872.585495,6860.147755,0.824502,0.10172,69297.086813,0.541026,0.854202,0.466018,0.645366,-0.031901,0.107086,0.298082,0.00319,0.03477,0.187243,-0.083889,0.146751,-0.046146,0.117373,2108.453757,0.443642,857.216403,54.581296,66.582763,0.507904,0.021605,0.13948,mixed
tNru1d6XMuY,0.954984,3.682732,1851.794835,4.125271,125.014575,0.08016,4.380501,3791.206039,0.574468,3823.498806,4.510183,11730.025818,8077.494246,0.8305,0.145604,44262.743055,0.627715,1.937324,-0.004792,0.523545,0.159827,-0.026551,0.113923,0.064408,0.151578,-0.11332,0.154704,0.011684,-0.040059,0.012097,2058.827238,0.436318,930.659109,57.934641,65.498298,0.409889,-0.0136,0.156618,mixed
tRJRP6qUWiA,0.92372,4.091932,2504.704422,4.095156,109.366791,0.070988,4.910196,2830.185335,0.494128,3095.696668,8.319203,9332.20652,5588.320882,0.777831,0.110764,21517.394442,0.776465,1.786974,0.184243,0.591635,0.132509,-0.062641,0.153914,0.01742,-0.080173,0.073954,-0.028965,-0.035567,0.00113,0.00416,1405.925325,0.459416,994.085089,61.539788,66.410396,0.392667,-0.017594,0.154106,mixed
tqvV2uFPCfs,0.940434,2.374356,2233.048679,4.06614,123.391621,0.067841,5.859471,3283.588026,0.527392,3332.381629,7.15485,10190.698995,6419.899593,0.799784,0.122416,51805.982698,0.576643,1.682688,0.107387,0.497664,0.161308,0.19702,0.334358,-0.121513,0.106232,-0.016747,0.031431,0.103825,0.064221,0.056688,1846.227348,0.482702,912.317219,57.485906,65.853748,0.515598,-0.025858,0.147028,mixed
tunMW9JZVCc,0.929101,4.40555,2650.816437,4.126192,111.187454,0.080366,3.501487,3534.3605,0.520955,3773.667654,5.100519,11430.566119,7524.244026,0.801552,0.14573,20394.487163,0.694964,1.753079,0.242615,0.278408,0.335,-0.016697,0.018666,-0.078779,0.038327,-0.069192,0.040679,0.034796,0.131235,0.107187,1590.328407,0.525452,916.111426,63.185234,66.379791,0.432979,-0.015317,0.171015,boys
tuovbTrSLvE,0.941611,3.921343,1736.706309,4.030812,127.351728,0.075004,4.438291,2844.479255,0.440272,3371.433598,8.820067,10179.705382,5876.003748,0.777934,0.127955,23926.111967,0.695861,2.211135,0.02216,0.326878,-0.109821,0.135656,0.096849,-0.035712,-0.017416,0.029865,0.032936,0.098056,-0.000729,0.150648,1260.0,0.568212,814.682575,61.552034,66.43662,0.480704,-0.011733,0.153923,mixed
uIpha8-eBes,0.932098,4.012603,1719.340648,4.071228,118.631394,0.069107,4.712991,3213.871035,0.520785,3333.173202,6.214344,10279.105514,6347.904526,0.811457,0.127669,43629.661366,0.576938,1.926238,0.412059,0.455642,-0.241629,0.148063,-0.075012,0.018939,-0.046006,0.007779,0.094096,0.03218,0.090241,0.060325,1762.691358,0.566667,904.245494,59.568126,66.16162,0.467401,-0.024911,0.161412,boys
uL3HLM6cWCE,0.881078,3.861748,1545.805755,4.536044,123.840631,0.1,1.918087,2720.950933,0.434401,3291.025378,8.723546,9861.034222,5528.623488,0.770633,0.121639,17761.834919,0.586471,2.149079,0.147992,0.393282,-0.158839,0.128052,-0.022162,0.101817,0.024195,0.065924,0.085167,0.064869,0.007594,0.113009,1234.662757,0.549365,729.514738,57.221409,64.33608,0.457647,-0.011726,0.163973,boys
ulURkxonNpU,0.893065,3.820658,1221.787274,3.989333,111.800137,0.093206,3.310858,2802.549854,0.481426,3093.126747,9.210461,9356.23298,5563.999776,0.782433,0.107635,28998.839719,0.68277,1.973254,-0.300664,0.229292,0.03206,0.007743,0.026449,0.026927,0.0772,0.177499,0.039317,0.07414,0.045798,0.02424,1447.023217,0.509121,870.80862,60.685656,67.332921,0.405933,-0.017035,0.153087,mixed
upsuBoJQ6k4,0.890828,1.806629,2487.728544,3.927134,110.904349,0.087561,2.709992,3131.427999,0.504587,3550.934661,5.812264,10885.005958,6699.718902,0.807442,0.134616,22810.653877,0.456366,1.775789,-0.010516,0.406202,0.119587,0.061153,0.068821,-0.05616,0.079263,-0.003853,0.053642,0.050059,0.07701,0.028367,1376.506024,0.514458,865.643251,57.20345,65.374031,0.466937,-0.023435,0.152424,boys
u0DskPo_-dQ,0.943731,1.642842,2215.793907,4.058613,108.611717,0.074714,4.702135,3559.843028,0.545927,3719.487744,5.364353,11484.947051,7478.289959,0.819131,0.133864,52860.984735,0.515539,1.830049,0.13577,0.321725,-0.07753,-0.035999,0.103155,0.088303,0.120183,-0.018713,0.066447,0.004085,0.00964,0.080032,1951.313629,0.512315,885.837406,58.9763,65.906924,0.428282,-0.03108,0.158254,mixed
vFlpklOfoaI,0.965288,3.977139,2106.757672,4.189046,110.581422,0.080472,3.399706,1780.554174,0.294994,2548.81975,20.879199,6592.824778,3200.620884,0.690077,0.077485,25615.15887,0.574745,3.153089,0.267633,0.808573,0.120673,0.233527,0.187453,0.0902,0.051543,-0.154781,0.04543,-0.088723,0.06565,-0.022104,746.545925,0.477361,694.248812,55.689531,62.631699,0.564584,-0.003037,0.127682,boys
vdWc1qLStAs,0.890037,4.201807,2153.382151,4.144285,129.018291,0.074074,4.886118,3082.393798,0.493411,3296.66569,7.98626,10159.35786,5930.609173,0.778563,0.12553,20078.886381,0.785948,1.85142,0.158081,0.645284,-0.018288,0.096745,0.263499,-0.132224,0.005521,0.104643,0.032485,0.030721,-0.088488,-0.144408,1645.403624,0.487644,941.922907,63.093897,67.40511,0.45286,-0.010214,0.14884,mixed
vnkTkVvn4Yc,0.799292,1.104858,2466.819632,3.927401,127.736495,0.241023,2.90998,2851.953756,0.494305,3117.531493,9.458785,9345.909638,5502.23288,0.780045,0.119822,9847.93916,0.422371,1.649475,-0.070746,0.490992,0.049763,0.103427,0.179178,0.125359,-0.059274,0.13599,0.112798,0.07224,0.032657,0.091566,1415.018405,0.55092,771.53347,56.885246,65.301418,0.414414,-0.019464,0.170396,boys
wI1q70-bcQE,0.891969,3.977141,2678.689656,4.178754,124.627438,0.085615,4.735796,3429.933441,0.568097,3404.806262,6.611536,10847.911391,6428.327839,0.791425,0.132744,45763.44798,0.619672,1.52566,0.32754,1.107692,-0.160798,0.238051,0.193448,-0.194156,0.270558,-0.047832,0.055635,0.024981,0.026892,0.020133,1822.245161,0.490323,951.585849,55.837796,64.25403,0.343848,-0.013079,0.166372,mixed
wWt38u3ikbQ,0.866496,3.507834,1382.865829,4.164124,129.264605,0.085273,2.821324,3171.782916,0.530486,3365.186957,6.019685,10337.75488,6485.771409,0.80883,0.123096,19042.464162,0.516659,1.476009,0.186554,0.426514,0.141467,0.239036,0.04422,0.120658,-0.060725,0.05821,0.079699,0.015109,0.118221,0.139857,1544.089101,0.572792,879.134627,58.484011,65.078136,0.43329,-0.014725,0.149507,boys
wdLvKel9Cbo,0.927333,4.846632,2704.732093,4.010404,137.238334,0.077303,3.836896,2775.610542,0.532345,2981.086835,8.711151,8971.027976,5375.419347,0.790846,0.104817,50282.477397,0.5986,1.765428,-0.250761,0.461461,-0.108708,0.298145,-0.271072,0.175128,0.056843,0.077734,0.047073,0.17305,-0.087247,0.027727,1626.896104,0.497403,760.647259,60.348027,67.696114,0.623606,-0.020711,0.1432,mixed
weHJ1rLykgs,0.857172,4.022778,2417.610741,3.995715,104.463625,0.081778,5.244811,3464.598812,0.567804,3481.187186,6.606841,10644.915529,6756.6008,0.807755,0.142986,35920.743572,0.677255,1.104763,-0.087277,0.336814,-0.281095,0.030465,0.079188,0.062711,0.036254,0.020441,0.132196,-0.000632,0.060379,-0.027868,1512.948857,0.449402,826.984403,63.890159,69.035038,0.40027,-0.010391,0.153431,boys
