stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_skewness_Mean,spectral_kurtosis_Mean,spectral_rolloff95_Mean,spectral_rolloff85_Mean,spectral_spectentropy_Mean,spectral_flatness_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_peak_PeakMagMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
-BaTPbE0Gdo,0.909838,3.718251,2014.026353,4.039156,132.760827,0.080213,4.198871,3031.754906,0.47685,3418.959518,1.930897,7.699129,10406.923112,6215.571882,0.770376,0.120883,17295.210748,0.838224,2.115753,-0.031754,0.406925,0.124125,0.129041,0.050491,0.131083,0.142592,0.03891,-0.003063,0.079393,-0.038167,-0.081763,1457.503234,0.547219,800.469755,61.082086,1.0,66.676042,0.528016,-0.022833,0.142065,girls
-KKsNKY4V8k,0.901218,4.93965,2745.439765,4.209581,129.743741,0.072482,4.118799,4681.256836,0.638021,4252.853317,0.898807,3.158889,13081.392289,9795.909942,0.849801,0.168676,47485.396136,0.599078,1.358435,0.327928,0.349553,-0.113292,0.129123,0.022874,0.008477,0.079768,0.017453,-0.035517,-0.047496,-0.035666,-0.083736,3025.553663,0.496593,819.363438,60.558755,1.0,67.392444,0.573589,-0.018371,0.147259,girls
-Mqc2csT3ZM,0.876307,5.601453,1899.855966,4.18796,137.249522,0.09811,2.855244,4335.394428,0.587888,3956.106546,1.110688,4.334926,12139.321199,8884.884218,0.799467,0.138393,13826.861416,0.763524,1.678965,-0.082111,0.584434,-0.011965,0.45015,0.079712,0.276403,0.022839,-0.001279,0.023485,-0.102238,-0.06449,-0.087654,2454.623016,0.522817,886.280864,62.476795,1.0,68.114295,0.45409,-0.01652,0.16861,mixed
-NEHGAMiA2I,0.94418,3.941158,1909.809917,4.141802,133.953191,0.073168,5.176513,2946.101667,0.420684,3485.364787,2.033173,8.725104,10325.865975,6097.003053,0.74779,0.125183,19486.944504,0.769338,2.311429,0.227889,0.913889,-0.066453,0.314468,0.27198,0.255806,0.153728,0.033439,0.00014,0.081611,0.008533,0.057064,1300.155239,0.477361,840.137178,55.67594,1.0,62.832144,0.505014,-0.010642,0.150269,girls
-SEKfzdaIK0,0.940624,1.573963,1861.287911,3.96861,111.410424,0.071111,5.696709,2920.217542,0.557134,2801.004215,1.319687,6.361059,8171.2382,6024.169922,0.793947,0.068644,43779.843502,0.483042,1.176464,0.281577,0.716397,0.000849,0.267452,0.169697,0.161385,0.047657,0.118939,0.11688,0.052622,-0.021921,0.008083,1667.65544,0.510363,813.293783,50.639463,1.0,62.597876,0.523762,0.010502,0.153793,boys
-a9Jmy2fs3I,0.92101,5.679826,2540.248455,4.092554,146.666397,0.074605,4.604354,2543.26252,0.405455,3158.043578,2.200353,9.359405,9559.83758,5068.727999,0.743702,0.093857,30141.782705,0.617544,2.321678,0.065723,0.610107,-0.006155,0.245256,0.07376,0.228629,0.19306,0.014913,0.093321,0.034755,-0.017676,0.043031,1205.315871,0.454545,762.431296,57.237469,1.0,65.137403,0.600659,0.023122,0.144059,mixed
-o98tc5dDUI,0.923111,4.052299,2121.014102,4.998523,142.773498,0.083835,4.514347,3322.055816,0.503348,3574.950956,1.75267,6.726904,10955.830471,6807.413939,0.789578,0.135052,22715.270788,0.816809,2.006989,0.106839,0.509113,-0.006773,0.178719,0.224501,0.064748,-0.037143,-0.04156,0.010384,0.022867,0.120668,-0.039872,1664.920635,0.452381,934.747578,61.080828,1.0,65.931542,0.446349,-0.019707,0.164019,mixed
-vSutSWNgLU,0.962739,4.134404,2436.201007,4.334284,128.207431,0.070909,5.606792,3199.00338,0.519526,3313.665581,1.691581,6.664359,10046.952536,6498.789234,0.797146,0.123563,33584.114693,0.81523,1.729152,-0.090208,0.470457,0.178855,-0.049707,0.188484,0.014617,-0.019646,0.033984,0.164694,0.103955,0.085791,0.069937,1651.494253,0.433498,980.41484,61.209257,1.0,66.428383,0.415472,-0.009861,0.163185,mixed
AB8ud4ogIvo,0.961906,2.772484,1833.2267,3.983895,137.345742,0.067378,3.729681,3726.463402,0.627104,3690.787552,1.407698,5.125376,11501.179916,7548.438764,0.81079,0.138089,29141.786206,0.748334,0.881915,-0.295658,0.640188,-0.222428,0.270618,-0.06179,0.054199,-0.000438,-0.161952,-0.066154,0.018631,0.065262,0.068182,1831.824212,0.427861,846.154478,59.444993,1.0,68.484349,0.466772,-0.022196,0.158063,girls
AJKBKR6MPO0,0.919346,3.798931,1977.993749,4.093938,111.229475,0.071569,5.161719,3938.78868,0.518731,3920.094118,1.337058,5.506787,11718.792419,8353.47662,0.783099,0.14995,22275.06151,0.753917,1.830102,0.415877,0.609978,0.184257,0.143669,0.187399,0.122312,0.194199,0.052413,0.073542,0.143814,0.115872,-0.071651,1878.499353,0.523933,870.276283,59.989186,1.0,64.485493,0.466915,-0.018851,0.155639,mixed
AYI3Gau3mWo,0.85817,4.003087,2088.765595,4.003056,121.871952,0.091364,3.187789,2836.941685,0.437423,3455.364918,1.9209,8.455931,10144.036347,6323.298842,0.776257,0.122755,17327.663709,0.463628,2.149147,0.063047,0.459035,0.08523,0.20491,0.049058,0.009489,0.020952,0.020765,0.034642,0.084188,0.014626,-0.003277,1153.965812,0.505128,775.67513,52.36221,1.0,63.028406,0.447771,-0.017095,0.160843,no actors
AYiWOamJVbk,0.914569,4.21445,3743.572261,3.988788,127.050721,0.080139,4.055564,3841.642097,0.628799,3274.827313,1.080725,5.046423,9975.535231,7452.786959,0.806778,0.096156,40136.916875,0.714243,0.934087,0.05377,0.468679,0.039601,0.248006,0.112798,0.090127,0.050837,-0.010865,-0.038871,-0.051332,-0.053692,-0.111135,2243.379416,0.548387,849.716438,59.888409,1.0,67.37901,0.471062,-0.017201,0.161642,no actors
A_GQGfxzc6k,0.957127,5.154426,2711.487121,4.985979,139.526573,0.079103,2.97604,3524.513298,0.560049,3447.741704,1.814274,10.769169,10636.653507,7067.067467,0.810265,0.119834,42415.716862,0.688025,1.755891,-0.228417,0.354213,-0.162424,0.176938,-0.045598,-0.012929,-0.050564,-0.038995,-0.020344,0.017945,0.041818,-0.00304,2004.700461,0.471582,917.850218,64.339438,1.0,69.197305,0.535896,-0.004146,0.155788,mixed
AoEBDS1OdQk,0.862067,3.821201,2208.685133,4.591299,111.891519,0.102821,2.363446,3163.35934,0.476098,3572.928286,1.673867,6.22821,10706.643434,6693.382493,0.787678,0.135324,11849.585402,0.629784,2.065816,0.12988,0.443171,0.169379,0.101621,0.161197,0.08564,0.078604,-0.024209,0.027018,0.019133,0.035836,0.065768,1429.814126,0.555143,748.583871,60.242409,1.0,65.296073,0.456473,-0.015026,0.162047,boys
AsBTxUxT8-I,0.93748,3.745422,1724.250883,4.082006,111.947177,0.077452,4.341539,3144.031886,0.524337,3287.737663,1.806921,7.522603,10023.635777,6225.344602,0.798132,0.128688,34262.370549,0.712975,1.574341,0.190507,0.399912,0.047564,0.013138,0.00895,0.179709,0.004119,0.11862,0.065956,0.079644,0.061247,0.048174,1592.023047,0.49936,951.294322,58.868878,1.0,65.675875,0.456064,-0.012354,0.138773,boys
AtNnedkKLnM,0.920153,1.712736,1954.562377,4.091373,143.446194,0.093553,3.817129,3058.975776,0.553298,2999.879574,1.519721,6.190739,9301.295823,6201.089243,0.802661,0.084054,44261.024752,0.658367,1.703091,-0.060946,0.431563,0.280083,0.022592,0.027945,0.037657,0.069265,0.034715,0.042838,-0.010003,0.034972,0.085276,1724.49923,0.50077,977.438587,59.127778,1.0,65.93117,0.399212,-0.011221,0.147882,no actors
BMSh7nl1pK8,0.964366,1.50438,1892.219408,3.828448,129.061797,0.07125,3.881927,3275.606786,0.518662,3722.884485,1.495168,4.709321,11570.868503,7397.917689,0.821786,0.131356,31810.817578,0.55478,1.907934,-0.219935,0.387901,0.086452,0.323395,-0.213691,-0.151241,0.015811,0.012678,-0.0097,-0.026054,0.089522,0.238082,1518.576105,0.522095,784.049419,54.986877,1.0,65.824975,0.582733,-0.005728,0.126604,girls
BS9a4CFppMo,0.88807,3.340879,1898.916067,5.038491,120.928492,0.096901,4.959323,3336.865718,0.477859,3306.969158,1.90157,8.966047,10169.897702,6129.140697,0.75744,0.115504,53162.789499,0.804321,2.346002,-0.06608,0.901787,0.327491,0.223519,0.099314,0.140148,0.161555,0.067018,0.028699,-0.033154,-0.068144,-0.026022,1942.922824,0.479475,915.889608,57.760756,1.0,63.798877,0.476017,0.027879,0.14841,girls
BohuEtYqfOA,0.983369,3.865824,1051.745146,4.074101,134.599158,0.072092,4.181663,2845.589979,0.569631,2972.612662,1.895776,7.689913,9147.415721,5528.335914,0.82238,0.106657,63500.820804,0.474606,1.60487,-0.511677,0.418857,-0.183398,-0.047519,-0.188225,0.060435,0.047157,0.148315,-0.037092,-0.040136,-0.025029,0.101313,1727.996633,0.490741,805.938895,56.47304,1.0,68.93617,0.559563,-0.007821,0.141501,boys
BooeikkiNKw,0.929876,5.940355,1176.012589,4.646961,138.274051,0.080603,2.480394,2661.856363,0.439475,3216.532656,2.045036,9.077464,9434.094494,5795.485106,0.779496,0.11132,22576.120757,0.489988,2.122746,-0.089179,0.372537,0.00727,0.116607,0.035122,0.05821,0.074736,0.041473,-0.046044,-0.010594,0.014903,0.081993,1164.19055,0.530596,681.675836,54.418725,1.0,64.163159,0.58824,0.004258,0.134011,no actors
Bqw_nmsQQy4,0.883182,4.410895,2854.330888,4.366361,127.379382,0.080417,4.370448,3211.318803,0.502469,3446.304323,1.839079,7.74207,10457.037456,6515.947266,0.789153,0.131094,20186.079212,0.692466,1.760844,0.250269,0.491398,0.188948,0.079369,0.067471,0.130752,0.011303,0.211347,0.039381,0.07631,0.034277,0.089054,1588.709677,0.53598,954.804647,61.113479,1.0,65.483416,0.475444,-0.000696,0.161712,boys
Bt3xT0QvitI,0.808972,4.221997,1948.053522,4.443197,120.599337,0.114079,4.062093,3205.54989,0.54824,3105.885201,1.86323,8.807787,9436.132233,6155.83136,0.79346,0.111672,26510.666947,0.5293,1.600022,-0.070458,0.495769,0.216446,0.06464,0.144401,0.107573,0.01954,0.062954,0.087871,0.054254,-0.025134,0.023869,2009.358816,0.561036,818.617135,60.196298,1.0,65.746572,0.398471,-0.010806,0.168651,no actors
B3O1NwkOOe4,0.919882,3.962021,2581.690028,4.114034,115.046919,0.072048,5.440026,3844.897184,0.543264,3697.087367,1.374073,5.600916,11200.673236,7723.76783,0.798201,0.140396,33227.073014,0.703972,1.736533,0.474776,0.422605,0.222391,-0.079243,0.167268,0.05053,-0.112326,0.059454,0.086277,0.004749,0.050897,0.037196,2142.26601,0.456486,964.01077,61.541557,1.0,66.292128,0.442706,-9.5e-05,0.168425,mixed
B3koQlnaEL8,0.880542,4.227914,2785.239736,3.953777,113.469875,0.087564,3.433036,3405.683197,0.526475,3585.325318,1.701219,6.558863,11163.60104,6744.124776,0.787785,0.134122,26514.168021,0.639562,1.768827,0.175383,0.566963,-0.141348,0.395283,0.070083,0.21478,-0.0499,0.073585,-0.030397,0.100294,-0.105959,-0.087257,1632.982456,0.463158,842.281976,61.851043,1.0,68.021178,0.472514,-0.000214,0.15421,girls
B4FsikjiUHA,0.889655,4.805592,1783.591758,4.089223,137.769907,0.066588,3.916854,3440.363798,0.607984,3310.848068,1.402046,5.476477,10372.872319,6668.304122,0.811561,0.117309,37797.815525,0.587798,0.985691,0.167899,0.992195,0.266731,0.262481,0.028946,0.120998,-0.028783,-0.013202,0.097584,0.192832,0.029392,-0.029714,1823.097015,0.478856,849.691857,54.945618,1.0,63.808498,0.416263,-0.030106,0.15127,girls
CNuIw1S2OMM,0.953968,3.849133,2570.024302,3.957059,129.427975,0.069714,3.883166,3489.734721,0.517927,3590.564806,1.515445,5.804657,10926.662191,7072.176107,0.796153,0.136156,42019.452534,0.781551,1.82345,0.303868,0.243232,-0.066819,0.257407,-0.103864,-0.012487,0.066436,-0.098237,0.003933,-0.080004,-0.03679,-0.105556,1774.980595,0.474774,889.373955,64.652039,1.0,68.655066,0.536259,-0.010673,0.153152,no actors
CN9qybFVIr8,0.960039,4.353579,1821.545638,3.993283,154.501079,0.067397,2.073064,4001.1745,0.597903,3973.477333,1.160528,4.037601,12059.317198,8605.578662,0.825104,0.135489,31489.507595,0.593249,1.544842,0.35554,0.793636,0.212814,0.031735,0.121451,0.064859,0.004922,0.011759,0.033917,-0.024719,0.188499,0.058592,2142.697795,0.483787,840.788807,54.785052,1.0,64.000479,0.523637,-0.034554,0.157676,mixed
CcVTEKOG13o,0.920255,3.992361,1530.145135,4.136759,133.021456,0.088729,3.02139,3764.999981,0.599951,3519.243828,1.371261,5.575361,10903.815019,7350.827508,0.817187,0.135089,43915.299142,0.655478,1.411981,0.26942,0.326125,0.142718,0.080103,0.034879,0.103171,-0.01015,0.046881,0.065142,0.052993,0.052432,0.031072,2190.339967,0.529851,924.565756,63.765645,1.0,67.162903,0.441707,-0.021472,0.167749,mixed
CfmWvEX_r7Y,0.940989,3.919435,2152.932202,3.941489,117.059579,0.084865,4.241393,3290.318975,0.54665,3266.487888,1.290671,4.779592,9782.835498,7010.821429,0.797555,0.08736,25291.89729,0.792039,1.709685,0.226418,0.437204,0.054998,0.113167,-0.086118,-0.106997,-0.065126,-0.075281,-0.064463,-0.039719,-0.019566,-0.054708,1920.86743,0.464812,890.34933,62.261714,1.0,68.044021,0.521521,0.012087,0.158594,mixed
CpSWTA48JDQ,0.890211,4.923594,2323.617022,4.123201,136.311688,0.098715,4.031128,4128.681194,0.611687,3830.39965,1.185195,4.379089,11831.174991,8309.273541,0.82811,0.149665,22076.02429,0.725467,1.325158,0.044486,0.283795,-0.12656,0.146362,-0.031831,0.048224,0.047907,0.074312,0.004017,-0.050058,-0.021126,-0.096217,2394.900794,0.576389,917.305583,66.746955,1.0,69.622873,0.502237,-0.010469,0.164605,girls
DE15rbeNgLI,0.850934,3.646521,2876.025125,4.045867,134.797733,0.094754,2.504475,3632.020648,0.587665,3398.83068,1.498295,6.103455,10613.066087,6969.872362,0.802949,0.127301,29116.770764,0.593674,1.250915,-0.112972,0.213452,-0.060078,0.328759,0.045245,0.097952,-0.127166,-0.065359,-0.115136,-0.073084,-0.034549,0.044915,2019.669523,0.55814,955.833347,66.839813,1.0,70.078983,0.426712,-0.014324,0.1734,girls
DHd-9Cx6fpc,0.817187,2.818773,2127.27683,3.999189,115.185191,0.10075,1.803456,2628.754667,0.407849,3342.080405,2.324632,11.665573,9570.622345,5547.329864,0.732541,0.123508,13617.443822,0.551243,1.89838,0.208275,0.591686,0.079318,0.157318,0.058833,0.116268,0.013488,0.110528,0.061079,0.092907,0.143541,0.092512,958.418451,0.688633,531.442772,53.103356,1.0,61.713155,0.425773,-0.01499,0.155842,no actors
DOO0-chRLHY,0.889584,2.216954,2746.730827,4.086537,116.861969,0.079222,3.496839,4582.86954,0.634294,4028.259473,1.072267,4.12534,12610.636789,9124.364391,0.838564,0.165944,48221.681749,0.517697,1.258392,0.384607,0.675,0.099184,0.126127,0.185603,-0.05575,0.138586,0.030273,0.079805,-0.02629,0.018179,0.01927,2572.382134,0.496278,957.797197,55.803262,1.0,64.029134,0.379654,-0.006849,0.161926,boys
DPDwNEZJNJY,0.875441,4.09214,2101.007053,4.142549,116.852159,0.101498,2.923571,3246.482835,0.481125,3454.819408,1.772538,7.419991,10489.115035,6428.0664,0.774092,0.12478,15763.384259,0.649009,1.88014,0.213381,0.40172,-0.081314,0.318584,0.141565,0.030501,-0.029491,-0.102317,-0.094661,-0.128122,0.031955,0.032844,1597.475369,0.573892,856.632751,60.79351,1.0,66.796766,0.458588,-0.01663,0.149193,girls
DWi19R_1ugo,0.96615,4.25007,2200.422021,4.52889,127.01059,0.065442,3.818803,3290.806962,0.586149,3240.453762,1.678106,6.977626,9944.086591,6373.027303,0.793663,0.119341,48761.883636,0.702021,0.978348,-0.319653,0.531449,0.001456,0.580545,-0.047017,0.17709,-0.04956,-0.043955,-0.101678,-0.036736,0.135033,0.068004,1796.568144,0.446634,859.421391,62.638853,1.0,68.438239,0.447755,-0.006718,0.159574,mixed
DX5qdgEvdlc,0.906714,1.662702,2757.283199,4.038552,121.349506,0.085625,2.996898,3751.661219,0.595812,3733.002533,1.391176,4.906278,11668.376818,7752.89055,0.830119,0.144589,23136.771056,0.716209,1.353063,-0.094819,0.360919,0.075177,0.104217,-0.009054,0.130917,0.102198,0.087519,0.159182,-0.018766,0.029301,-0.020054,1995.260546,0.485112,985.807654,63.323573,1.0,67.568587,0.42527,-0.015173,0.163119,boys
DqQZSbSfQ6g,0.9737,4.13054,3695.202432,4.035215,121.490717,0.083654,4.303584,3208.949512,0.502883,3512.629444,1.767609,7.149806,10621.288815,6606.310334,0.768496,0.114562,26182.452701,1.028873,1.992258,-0.046833,0.565094,0.013181,0.12259,0.153606,0.180731,0.128091,-0.036051,-0.099261,-0.050567,-0.126202,0.025208,1554.549918,0.332242,707.509848,62.585445,1.0,67.207051,0.58621,-0.025852,0.11353,girls
DqU8fARtNFA,0.932969,3.926847,2135.768284,4.127788,115.402394,0.074487,6.124365,2773.740186,0.455484,3064.257195,2.099283,9.74883,9230.902671,5442.636311,0.763909,0.099368,30459.531757,0.670759,2.039824,0.068206,0.556141,0.28638,0.250159,0.102121,0.14605,0.102137,0.135258,-0.056333,-0.006984,0.080971,0.012,1379.198036,0.450082,865.375839,51.683612,1.0,61.465427,0.367713,-0.01523,0.141553,mixed
Drg9AMJCWRk,0.930955,1.403048,2341.41727,3.890198,133.858964,0.063913,4.450286,2881.060087,0.426319,3470.190198,1.791956,6.935183,10270.871467,6338.030147,0.776826,0.13631,17301.30628,0.584683,2.075474,0.338222,0.083979,0.110314,0.209545,0.109631,0.074543,-0.059529,0.055373,0.081314,-0.027134,-0.061052,-0.010074,1045.376532,0.45359,786.864343,56.222065,1.0,64.20089,0.447666,-0.015754,0.171459,mixed
Dvcp5sr5AcA,0.956118,3.991518,1067.074909,4.161522,129.525438,0.058942,3.155439,2536.184238,0.414531,3242.861336,2.188411,10.231455,9362.186417,5677.054639,0.750212,0.101206,34928.077086,0.44398,2.031213,0.064047,0.785892,-0.01248,0.0232,0.045636,-0.013292,0.122459,0.092965,0.058095,0.044555,0.022929,0.062147,1076.702955,0.49689,690.733254,51.63781,1.0,61.877143,0.562233,-0.027733,0.156981,boys
D9QZLIMKEno,0.924802,0.908429,1684.511985,4.019695,113.904021,0.072333,4.382122,3465.851208,0.553349,3322.282413,1.496377,6.339967,10252.720827,6821.251101,0.782189,0.113213,23124.41189,0.836482,1.331662,0.226012,0.298885,0.236207,0.228647,-0.054675,0.14378,0.026138,-0.054906,-0.086298,-0.026721,-0.013462,-0.0042,2031.94113,0.44471,925.678268,62.267646,1.0,66.524689,0.378052,-0.01761,0.157858,mixed
D9qcmuxI4EI,0.952807,3.529413,2285.228081,4.039801,108.848422,0.075,5.686066,3125.938884,0.602192,2731.687547,1.27514,5.736511,8427.870687,6121.75293,0.809792,0.063216,69248.107314,0.670237,1.409496,-0.05209,0.512896,-0.170271,0.26487,-0.052881,-0.038323,0.079351,-0.111052,0.093058,-0.038059,0.077419,0.020926,2067.772021,0.446891,968.062479,60.083333,1.0,67.385055,0.477643,-0.012803,0.154926,boys
E-7oPgt5dn8,0.878524,4.573582,5956.327242,4.165482,126.363951,0.084194,4.178886,2335.079119,0.366436,2821.571919,3.371255,25.460226,7382.29036,4574.530672,0.687124,0.086629,27063.649924,0.566612,2.718127,0.208613,1.087661,0.410942,-0.069239,0.257554,0.214991,0.213482,-0.052851,-0.230838,-0.224101,-0.184029,-0.212014,1123.853904,0.571788,767.749223,52.678974,1.0,60.58909,0.493463,0.008931,0.119408,no actors
EJv6cvvJshU,0.896142,3.334158,2766.61837,4.167075,122.218322,0.084091,2.929222,2923.325543,0.516591,3185.689501,1.905191,7.39584,9872.053873,5878.907109,0.79281,0.099957,17886.580654,0.73031,1.866164,-0.47948,0.340681,-0.083123,-0.034351,0.035412,-0.039504,0.034303,0.053942,0.11884,-0.056955,-0.094144,-0.060089,1666.289517,0.577371,947.278942,66.551223,1.0,69.660703,0.446761,-0.005408,0.159757,mixed
ELVHeeDug4U,0.880891,3.85481,2381.558749,4.017455,118.981687,0.085443,3.243558,3283.519956,0.621957,3139.10772,1.898897,8.209475,9814.222719,5979.714938,0.776919,0.112025,18915.554084,0.81507,0.691921,-0.557712,0.475413,-0.100958,0.334925,-0.100058,-0.017311,-0.257387,0.00815,-0.052681,0.061073,-0.067924,-0.114636,1856.27182,0.495012,903.99164,71.333499,1.0,72.775362,0.502723,-0.013403,0.159155,girls
ELhRcGY6XyI,0.927124,3.322752,1783.148704,4.093648,108.386219,0.087479,4.007139,2736.593273,0.436081,3322.872123,2.177837,9.475901,9890.763307,5702.98765,0.75991,0.114941,23279.314581,0.670395,2.155806,-0.283246,0.322256,0.278615,0.353646,-0.057105,-0.078998,-0.213918,-0.080124,0.195681,0.222182,0.08707,0.00571,1333.03207,0.526725,775.958572,62.841179,1.0,66.756458,0.598449,-0.011872,0.138994,no actors
ENjv1qKNS4A,0.72176,3.603645,1280.005448,4.591771,119.549331,0.060583,3.549192,3927.189822,0.60837,3819.449791,1.234269,4.205318,11898.849697,8258.944453,0.826908,0.130759,29485.081072,0.412221,0.849202,-0.013061,0.257669,-0.017582,0.110287,-0.012704,0.122596,-0.02097,0.029434,-0.050111,-0.058036,-0.020788,-0.006099,1254.654676,0.47554,652.807859,60.367632,1.0,68.293194,0.321327,-0.007255,0.154855,girls
EPIML-8H-xY,0.914379,3.717766,1961.475068,4.065749,128.472362,0.092955,4.142433,3290.961305,0.485999,3589.781962,1.745269,7.206034,11019.886574,6651.558152,0.779899,0.140881,25725.516349,0.761642,1.852571,0.326574,0.63393,0.20524,0.064944,0.244803,0.028233,0.061348,0.053442,0.141095,0.085254,0.151921,0.036444,1440.452781,0.474774,893.194225,57.682286,1.0,63.8009,0.380091,-0.023126,0.154674,boys
ERWmerxv2N0,0.842005,4.116284,2251.624498,4.234783,108.719876,0.102469,2.691512,3146.07946,0.462857,3474.298118,1.847905,7.199015,10728.742453,6104.044037,0.771749,0.125525,12183.580518,0.662066,2.425492,-0.002298,0.755978,-0.201992,0.34674,0.006956,0.115307,0.035248,0.059035,0.087544,0.00769,0.092949,-0.019907,1563.295964,0.589686,895.683188,62.305752,1.0,66.140017,0.47417,-0.018436,0.161199,girls
ET8_Ee5cQk4,0.952968,4.951442,2197.087901,4.440555,126.306127,0.072793,4.134456,3711.738236,0.590351,3643.095337,1.286892,4.550581,11245.366673,7633.938899,0.826401,0.143043,40241.26516,0.777312,1.254129,-0.159487,0.075574,0.140186,-0.008877,0.125731,-0.095264,-0.044375,-0.047348,0.07682,0.068307,0.030833,0.177991,1837.928844,0.433291,929.298032,65.017111,1.0,69.512103,0.428357,-0.032531,0.158604,boys
EXL8_DhTqNE,0.855954,1.207252,4793.048594,3.988737,140.370391,0.070357,5.546236,2918.450204,0.499995,2998.269305,2.082418,10.115014,8881.375266,5538.937362,0.768609,0.096803,29765.355886,0.690678,1.45293,-0.03882,0.177024,0.058061,0.175466,0.065824,0.215874,-0.067557,0.0139,0.028216,-0.057005,-0.037409,-0.045565,1396.278027,0.452915,945.770066,64.584008,1.0,67.898252,0.338298,-0.010917,0.146952,mixed
EXVVcmoPCbA,0.896087,2.267096,3353.795407,4.05073,126.30268,0.070513,3.657123,3987.396393,0.513072,4139.15258,1.258226,4.494886,12635.970467,8577.333551,0.776264,0.159735,31008.264249,0.666135,1.177782,0.476093,0.424163,0.19882,0.357115,0.16623,0.032004,0.008186,0.096182,0.125737,0.004583,0.047173,-0.057733,1587.193798,0.47907,840.008088,55.497139,1.0,62.798572,0.41209,-0.016509,0.180639,mixed
Eej5_xQMdF0,0.871673,2.671633,2142.087061,4.20264,134.439227,0.097792,2.438395,3117.772733,0.476031,3524.465506,1.710833,6.839144,10578.341731,6695.656094,0.7821,0.117162,15250.482925,0.469264,1.907397,0.446282,0.807678,0.065926,0.140078,-0.015777,0.116629,0.022504,0.180934,0.070186,-0.012373,0.054321,-0.011238,1487.989822,0.603053,796.155222,56.164613,1.0,63.711821,0.512234,0.000203,0.152164,girls
EjxILHpT7I8,0.903571,3.524305,1531.23887,4.467989,129.810594,0.092047,3.664178,2333.54203,0.439479,2483.878285,2.168485,12.296472,7102.788204,4698.926664,0.752448,0.058413,16203.50525,0.778575,2.065322,0.124612,0.455141,-0.247029,0.173582,0.177169,-0.069579,0.036484,0.055384,0.037442,0.031183,0.136874,0.068652,1318.2247,0.534305,936.070021,61.338275,1.0,66.530362,0.388877,-0.017236,0.162487,boys
EsoVjRdPCoU,0.818823,3.159955,2404.574556,4.554216,135.386632,0.086682,3.784141,2723.282833,0.430381,3159.137797,2.076195,9.280498,9365.438351,5492.529691,0.748094,0.108976,13781.292687,0.602782,2.151889,0.652611,0.693118,0.149541,0.352376,0.094788,0.161857,0.030542,0.014508,-0.013263,-0.083868,-0.118438,-0.091016,1227.767584,0.603211,777.13551,58.902828,1.0,65.004291,0.495839,-0.016448,0.142577,mixed
ExJpDpg2T_A,0.918213,4.53221,2984.682497,4.498315,114.182812,0.076054,5.300323,2933.587647,0.463889,3556.21074,1.982429,7.512957,10798.424457,6162.239114,0.759522,0.12452,14297.409426,0.702642,2.091498,0.034917,0.42706,0.230395,0.174478,0.032083,0.141,0.032012,-0.005112,-0.010273,-0.000391,0.098139,0.096338,1315.736636,0.492829,902.841736,60.242923,1.0,65.603037,0.485206,-0.006634,0.150889,girls
Ex5ZhANd7z0,0.943979,2.838271,2707.850397,4.574138,165.458496,0.069655,4.350418,2512.704631,0.411862,3298.883938,2.095854,9.340879,9511.59427,5629.445126,0.752314,0.121744,40080.05552,0.453854,1.78225,0.50932,0.987318,0.331089,0.377449,0.256039,0.25453,0.141386,0.184974,0.170075,0.033921,0.03542,-0.077556,822.427366,0.40956,527.918308,48.405615,1.0,57.297652,0.605098,0.014636,0.121238,mixed
Ey3HojynMqM,0.843105,2.331621,2949.508434,4.08178,126.889084,0.080393,3.12423,4214.422205,0.614153,3639.062466,1.452112,6.952177,11415.171677,7951.06606,0.822417,0.146873,57271.914712,0.5081,1.36356,0.253174,0.480235,0.306304,0.110576,0.180156,0.021801,0.01654,0.017855,0.045777,-0.041551,-0.002159,0.049456,2626.355828,0.539877,932.101382,63.335151,1.0,67.120941,0.422815,-0.006462,0.170299,mixed
E8GschBoKMA,0.904074,4.108368,1571.19247,4.178727,121.631152,0.099872,2.834316,3234.281037,0.473303,3596.526638,1.788639,7.152548,10929.890359,6698.494762,0.759012,0.118082,14693.711496,0.846715,2.37726,0.053274,0.669652,0.169485,0.237308,0.12895,0.15023,0.046102,-0.010879,-0.04633,0.107535,-0.079813,-0.095719,1848.49444,0.508127,810.095642,60.422921,1.0,66.169414,0.486891,-0.005118,0.161586,girls
