stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_skewness_Mean,spectral_kurtosis_Mean,spectral_rolloff95_Mean,spectral_rolloff85_Mean,spectral_spectentropy_Mean,spectral_flatness_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_peak_PeakMagMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
x1Vhqc54Sgs,0.89269,4.074056,2727.304091,4.011438,109.660248,0.072479,3.358781,3344.082667,0.554576,3432.567858,1.612341,6.316376,10508.480207,6733.361368,0.807697,0.134981,30733.344312,0.584621,1.602437,0.024334,0.540415,0.238688,0.1344,0.022046,0.018275,0.017488,0.005572,0.013878,-0.0058,0.091287,0.027538,1699.726516,0.530321,908.494655,60.626654,1.0,65.821993,0.423051,-0.030078,0.165795,mixed
x75PlcuAiNc,0.87442,4.19432,2353.246114,4.012394,100.071882,0.097621,3.741985,3635.517308,0.569651,3701.067992,1.510754,5.470408,11521.058522,7490.501742,0.808877,0.134016,16678.37429,0.732603,1.595,-0.167333,0.383691,-0.082493,0.280095,-0.166353,0.053,0.069876,0.024632,-0.052733,-0.039434,-0.143239,-0.067505,1938.16092,0.545156,988.806081,67.547009,1.0,69.962697,0.466021,-0.02107,0.176297,girls
x85TYyRIRwU,0.943553,4.686869,1556.869631,4.245766,133.869416,0.085519,2.636662,5001.305631,0.622977,4573.333741,0.666434,2.383219,13424.53644,10694.932426,0.850047,0.166232,33883.958516,0.744832,1.869291,0.367384,0.31669,0.128944,0.168621,0.011276,0.059016,-0.036781,-0.091856,-0.073282,-0.138031,-0.076099,-0.058117,2882.299421,0.540943,817.923425,62.397198,1.0,67.407795,0.604847,-0.068814,0.149965,girls
yJ0v0wuokZE,0.946597,4.505575,2252.483439,3.967424,126.815059,0.115714,1.970271,4285.293564,0.645767,4058.343591,0.998094,3.356195,12493.123673,9003.353779,0.853271,0.166831,16558.74683,0.455768,1.02391,0.059121,0.387226,0.155758,0.077454,0.082612,0.09377,0.000875,0.112695,0.095678,0.034541,0.037754,0.039911,2143.513957,0.472906,563.036459,51.177207,1.0,65.596812,0.709448,0.070149,0.116294,mixed
yQgb0LJUIlU,0.893482,4.067847,4573.32941,5.150465,122.071929,0.105909,6.741341,1915.00974,0.320043,2579.034576,3.564404,24.976904,6703.30257,3867.330406,0.69309,0.078683,26481.095233,0.561399,2.848478,0.333367,0.695103,0.126312,0.088048,0.153959,0.079749,-0.368834,-0.27577,-0.118668,-0.135568,-0.084487,0.061284,985.920852,0.552511,566.970877,57.225514,1.0,63.128672,0.628337,0.04664,0.118565,mixed
yRUiwRKk6QM,0.886239,3.969209,1414.467016,4.350421,117.992185,0.094214,4.393586,3252.594287,0.551977,3289.396195,1.482173,5.932918,9752.201651,6811.49186,0.810148,0.115287,32490.916083,0.59282,1.849797,0.127634,0.74002,0.009844,-0.011822,0.136772,-0.025132,-0.019405,-0.115292,0.02311,-0.077213,0.033078,0.054581,1794.097104,0.468484,920.482226,59.041513,1.0,65.657031,0.410091,-0.013162,0.157217,mixed
yVNl_oSo7bI,0.893651,1.054421,2487.165177,3.977239,125.50563,0.08413,4.300892,2842.978887,0.528017,2422.61195,2.049509,13.214333,7275.371859,5086.222843,0.755068,0.058193,35743.134958,0.850151,1.750284,-0.099109,0.207474,-0.000478,0.064915,-0.045648,-0.095072,0.028526,-0.006286,0.093181,-0.092321,-0.0417,-0.06585,1939.274293,0.439114,948.923132,68.20825,1.0,70.200884,0.451018,-0.002489,0.166899,boys
ygXt9OPfzEE,0.903158,3.930394,3723.430109,4.251566,118.120737,0.089146,1.347859,3786.789643,0.598368,3640.601968,1.417222,5.428105,11209.598851,7615.646267,0.808615,0.133507,36008.186121,0.701406,1.336227,-0.363369,0.452128,-0.218703,0.125424,-0.063938,-0.037631,-0.061851,-0.084718,-0.013652,-0.080198,0.002414,-0.012565,2170.086622,0.52358,925.374038,63.152581,1.0,68.232029,0.478105,-0.011197,0.158868,girls
yxkQMmtVeG8,0.838299,3.750636,2619.293742,4.166649,115.67696,0.110528,1.834725,3971.692553,0.576038,3978.732123,1.447033,5.683123,12288.543409,8170.901389,0.800906,0.141172,25509.384716,0.635738,1.73026,-0.040442,0.829672,0.151296,-0.021676,-0.19816,0.055146,0.078966,0.003573,0.199058,-0.075424,-0.003557,-0.006588,2136.691358,0.576543,887.392199,62.929064,1.0,67.149827,0.422636,-0.00727,0.180296,girls
yyyapflC9Wk,0.920588,5.515095,3107.921901,4.317413,125.994169,0.064267,5.676493,3065.956644,0.517956,3310.626849,1.819454,7.239387,10133.990973,6298.061804,0.793055,0.122408,17946.362388,0.793701,2.004294,-0.124618,0.335884,-0.002999,-0.007554,-0.154944,-0.050209,0.027009,-0.039402,-0.084611,-0.023409,-0.139925,0.044977,1538.960396,0.514851,1064.941144,67.986184,1.0,70.235539,0.433786,-0.013718,0.173157,mixed
y6wJehV4tis,0.816199,7.186228,1945.946756,4.131757,119.894717,0.230588,1.832532,3368.192523,0.527363,3575.325176,1.642955,6.302023,10899.61347,6951.118637,0.800301,0.139831,10471.953562,0.576554,1.788566,0.028695,0.083742,-0.096169,0.025561,-0.196941,-0.077016,-0.149611,-0.085068,-0.099332,0.026322,0.000991,0.051942,1747.28176,0.669979,767.062462,63.370629,1.0,69.070656,0.534055,-0.006337,0.149304,mixed
zNLbDvnYln0,0.861829,3.770365,2203.111306,4.125113,121.913141,0.094932,2.955422,3358.565393,0.489225,3726.480938,1.684226,6.15058,11485.651577,7178.143843,0.779844,0.136665,16982.697921,0.583881,2.203605,0.241411,0.500571,0.256684,-0.086417,0.098319,-0.054708,0.037173,0.024144,0.000278,-0.042989,0.047808,-0.012575,1511.629435,0.549277,883.271126,62.658805,1.0,66.216088,0.4727,-0.020962,0.155329,mixed
zaOUWigiEVM,0.840148,3.651263,1500.873532,4.004757,115.986387,0.10696,2.745644,2134.332595,0.387094,2852.833764,2.728514,15.498024,7866.443394,4328.76019,0.753072,0.10094,26031.894572,0.303179,2.216548,-0.057662,0.549256,-0.005559,0.172046,0.039572,0.120576,-0.011241,0.053836,-0.002557,0.043563,0.020963,-0.001651,880.053996,0.4946,667.007115,50.521152,1.0,62.488471,0.518126,-0.013233,0.163783,boys
zabpEcBueg8,0.899997,4.093659,2443.093918,4.334906,108.990874,0.071795,3.594796,2812.223896,0.444787,3209.496521,2.126438,9.428907,9654.152889,5515.187477,0.750913,0.116791,25731.434686,0.590288,2.094713,0.27379,0.529045,0.196175,0.17158,0.318864,0.058282,0.025738,-0.10916,0.093661,-0.0369,-0.001601,-0.007655,1409.400922,0.482335,838.506307,55.73138,1.0,62.637037,0.385562,-0.01686,0.163311,boys
zgYKLgKXZjQ,0.938651,3.788215,3381.4117,4.281504,119.400616,0.07,4.000566,3002.907332,0.473038,3309.557399,1.990161,8.902248,10073.041369,5915.023629,0.767678,0.12144,56498.781576,0.495959,2.090721,0.384196,0.890531,-0.108855,0.267221,0.160296,-0.023378,0.25241,0.01259,0.035478,0.092221,0.065735,-0.015746,1470.95064,0.502742,886.013733,50.941176,1.0,61.679509,0.401742,-0.013928,0.167056,mixed
zg1nAydNm_A,0.932556,3.077144,2033.774155,3.983223,129.069501,0.073187,4.301856,3545.019815,0.585968,3593.105444,1.397048,4.963674,11162.324268,7227.140506,0.828629,0.130054,43414.369318,0.495243,1.466806,0.090254,0.715256,0.078764,0.098076,0.143303,0.073461,0.00503,0.110946,0.074371,0.069983,0.020036,0.106609,2001.339869,0.531046,904.649926,54.886755,1.0,64.901892,0.471429,-0.001617,0.161843,boys
zmd44gV9raw,0.964958,4.415389,2483.702831,4.187408,119.556711,0.062842,3.593077,3604.093542,0.506963,3879.864873,1.415965,5.207629,11474.149623,7912.60124,0.793551,0.141559,24937.384751,0.73535,1.990534,0.043457,0.370893,-0.145249,0.049042,-0.012127,-0.024153,0.007866,0.034153,-0.096451,-0.016781,-0.138906,-0.086649,1593.039683,0.459524,818.721083,61.996215,1.0,66.746081,0.453894,-0.021956,0.154334,girls
zqvBh_9EQSc,0.901949,4.324763,978.919655,4.584128,116.9975,0.108269,1.616803,2363.27671,0.393192,2908.530724,2.546961,14.164766,8218.619073,5023.451748,0.754498,0.090696,30235.857317,0.378044,2.594802,0.058768,0.390235,-0.128648,0.158864,-0.3,0.123484,-0.081066,0.122002,0.269361,0.058508,0.193182,-0.019871,1156.8801,0.558694,616.09419,51.576175,1.0,62.682327,0.563161,0.021288,0.115647,mixed
z3Rub01-9J0,0.894279,3.945031,1716.989517,4.468511,119.461419,0.089328,3.420543,2987.144081,0.441629,3449.126276,1.93476,8.200677,10279.684518,6163.262986,0.752092,0.126056,10991.623563,0.886632,2.009603,0.195695,0.216269,0.08055,0.187503,0.007965,-0.025006,-0.127618,-0.126731,-0.080288,-0.047182,-0.021215,0.051401,1353.900169,0.550761,866.626198,63.387633,1.0,66.614382,0.423568,-0.009624,0.164791,girls
z6cj2wHF1rA,0.853984,4.206323,5660.657203,4.493072,111.705125,0.066484,7.743271,3146.307671,0.400846,3998.180145,1.9963,8.384704,11598.237621,6806.131706,0.677885,0.136948,8900.364627,0.431308,1.865862,0.570929,0.504441,0.209094,0.090103,-0.007087,0.038322,0.046733,0.029444,0.057034,0.077108,-0.003705,0.040882,913.539192,0.471496,692.607076,57.596434,1.0,63.855989,0.578292,0.001752,0.176265,no actors
z8xZjjBKZI8,0.917894,4.310251,2129.129443,4.629972,132.483369,0.081463,4.85749,3940.76991,0.583666,3676.283234,1.31228,4.985245,11500.324209,7872.191981,0.805511,0.127912,27476.621297,0.898608,1.734041,-0.00228,0.529265,0.127353,0.042395,0.06009,-0.067933,0.091807,-0.126802,-0.066918,-0.049474,0.03973,0.059383,2332.356792,0.476268,910.125166,63.376868,1.0,68.828695,0.498298,-0.019532,0.163479,girls
0EnNkBfhfa0,0.936556,6.067174,1202.909243,4.573261,129.826039,0.063734,2.326416,2904.349785,0.466672,3467.667443,1.732654,6.601519,10330.57492,6548.306747,0.803423,0.129885,36797.484039,0.529892,2.02523,0.037139,0.236787,0.056743,0.059255,0.072452,0.089457,0.040263,0.032282,0.017638,0.039076,0.045733,0.042511,1165.9447,0.539171,751.545429,50.433797,1.0,63.543924,0.480731,-0.022425,0.163096,no actors
0YThUgMIgac,0.955821,3.770644,1805.553443,4.016277,117.840428,0.0766,3.156425,4419.541394,0.624476,4116.108064,1.032304,3.83707,12579.007975,9274.772135,0.825462,0.150671,34660.449896,0.716106,1.410412,0.041749,0.786629,0.279389,0.135882,0.485491,-0.151597,0.162762,0.074691,0.135987,-0.012178,0.162965,0.066972,2334.735484,0.455484,928.882387,59.214544,1.0,66.889001,0.456003,-0.017261,0.147237,mixed
0nAk-a4j7dE,0.909061,3.556478,1980.601546,4.073939,149.285975,0.076906,3.92335,3343.296834,0.495106,3503.269635,1.614659,6.208094,10704.828541,6857.91328,0.790894,0.127088,30747.393289,0.70756,2.164818,0.140096,0.056091,0.080193,-0.014292,-0.050792,0.089295,0.008954,-0.033865,-0.088385,-0.036681,-0.02497,-0.030275,1820.194049,0.477361,928.933918,65.307891,1.0,68.250226,0.515311,-0.018428,0.158906,mixed
1ElWzIJJCQI,0.907113,5.7963,3029.824357,4.271087,137.671479,0.078095,4.396757,2944.661614,0.495814,3155.071269,1.912102,8.327487,9435.326307,5973.050663,0.78016,0.111444,23759.223079,0.657846,1.935295,-0.106197,0.42809,-0.160004,0.329382,-0.068358,0.215815,-0.104365,-0.084116,-0.124742,-0.048921,-0.027855,0.004688,1573.597711,0.49305,775.023031,59.981344,1.0,66.52607,0.551639,-0.021461,0.140124,no actors
1RLA2K18riE,0.888959,2.64342,1872.643859,4.272319,127.849014,0.082903,4.580659,3200.537502,0.501779,3399.442098,1.810902,7.119371,10475.44766,6418.573965,0.774928,0.122346,16978.313311,0.900874,2.007964,-0.102834,0.407073,0.008014,0.141269,0.044323,0.072721,0.108954,-0.002877,-0.04284,-0.036649,-0.071042,-0.050944,1703.388823,0.502973,864.645852,62.927563,1.0,68.251379,0.44482,-0.024519,0.157083,girls
1cBoo3E5b3Y,0.896491,2.086827,3752.80881,3.978119,136.365569,0.08459,3.192861,2965.623491,0.480424,3454.020805,1.805983,6.727323,10581.941396,6346.356642,0.791506,0.11785,32311.457703,0.592368,2.127777,-0.021944,0.231922,-0.07253,-0.109469,0.068943,-0.136131,0.204371,-0.05518,0.085593,0.045747,-0.023591,0.071234,1413.140496,0.570248,855.516831,57.508306,1.0,66.48737,0.524077,0.016839,0.157257,mixed
1eojD029X8E,0.879564,3.603385,2018.275465,4.32198,128.52404,0.097831,2.953737,3211.751222,0.483127,3590.91795,1.717753,6.290039,10999.626312,6720.796097,0.789166,0.125494,16211.467169,0.652894,2.005262,-0.084299,0.195848,0.100966,0.346032,0.209252,0.174983,-0.123922,-0.050697,0.000813,0.100387,0.086464,0.063471,1580.801944,0.571081,871.358811,61.847889,1.0,66.719024,0.546591,-0.016418,0.158253,girls
1onOMfFae74,0.901018,4.113503,2467.121927,4.203641,128.976784,0.08433,4.446356,3250.556043,0.458831,3606.490982,1.871392,8.068435,10951.812744,6636.55599,0.760285,0.12996,17390.064698,0.847978,2.331849,0.380112,0.713708,-0.141285,0.229605,-0.221923,0.116322,0.032366,0.086773,0.043521,0.047514,-0.119152,-0.052123,1541.272727,0.515584,868.81149,61.684755,1.0,66.796742,0.454648,-0.007859,0.149454,girls
1svuTm2KSiw,0.873478,3.814673,2035.735458,4.158925,114.060903,0.094071,3.146836,3200.582843,0.541092,3307.437419,1.799561,7.538935,10044.593811,6195.162964,0.802456,0.127503,31385.729544,0.590285,1.719802,0.0659,0.863318,0.034669,0.106431,0.109704,0.067311,-0.090749,0.088345,0.015988,0.045173,-0.028938,0.032376,1726.683354,0.579474,911.414524,61.645387,1.0,66.683448,0.449824,-0.008606,0.160889,boys
1yH1AS7GGZU,0.811101,3.363604,1806.494292,4.158337,115.24203,0.145309,1.494703,3284.330468,0.585498,3102.838164,1.83011,8.592631,9325.081993,6177.154528,0.786368,0.116386,11470.520438,0.637408,1.206013,-0.036702,0.348901,-0.065091,0.134278,-0.191218,0.068845,-0.051281,0.043147,-0.047624,0.044696,-0.132496,-0.034233,1866.121429,0.607143,899.320169,68.906057,1.0,70.722389,0.45397,-0.010821,0.172384,girls
1y538s1N3To,0.936522,4.003403,1378.884042,4.841889,130.640294,0.072028,3.788276,3244.67006,0.514197,3450.513346,1.636071,6.123512,10569.503945,6669.484671,0.797099,0.130541,26405.72832,0.771135,1.797161,0.135543,0.243965,0.025272,0.207261,-0.139613,-0.025485,0.079181,0.038246,-0.009423,-0.04945,-0.043231,-0.163145,1698.894096,0.480787,939.122199,61.595863,1.0,67.570845,0.461774,-0.006369,0.149901,mixed
2-m3SEGs0kM,0.858592,3.672227,2340.09359,4.069485,116.787687,0.077982,4.919993,3174.234309,0.532299,3350.686962,1.835858,7.607105,10259.69864,6208.62624,0.768501,0.123719,30155.74436,0.665831,1.69863,-0.119535,0.578432,0.473138,0.027406,0.093897,0.118144,0.189899,-0.176649,0.098179,0.021439,0.032841,-0.042108,1540.21978,0.528472,923.307739,59.534562,1.0,66.255448,0.390744,-0.005881,0.146438,mixed
2J7ZM8U9bw0,0.90184,3.463672,2699.626354,4.05662,142.554669,0.079208,4.334295,3880.351044,0.59742,3714.441741,1.34525,5.007978,11527.021032,7702.054068,0.830121,0.144306,27072.742587,0.701963,1.531767,-0.192276,0.368756,-0.034875,0.09561,-0.075421,0.09517,0.060658,0.131761,-0.031814,0.087941,-0.03595,0.03491,2270.17331,0.592721,984.701634,62.998624,1.0,68.595963,0.454401,0.012036,0.154321,mixed
2KH0C36fKkk,0.855232,3.955841,2143.193996,4.618771,127.439807,0.088082,3.790425,3499.610372,0.505325,3559.891758,1.636457,6.999371,10612.049592,6950.140751,0.774736,0.131064,6978.270027,0.790172,1.826763,0.164429,0.439237,0.091476,0.140843,0.047009,-0.125111,-0.098766,0.031347,-0.021775,-0.016038,0.005573,-0.078697,1742.684729,0.573892,819.934386,63.104623,1.0,67.233122,0.389702,-0.014878,0.167066,girls
2LZjLBipdfI,0.924956,4.187399,4711.769474,4.033379,112.48985,0.083333,4.861734,3940.244461,0.649565,3742.923709,1.313,4.635739,11775.970459,7860.993004,0.815872,0.145162,26924.119325,0.857697,0.725952,-0.281008,0.593247,-0.194163,0.281931,-0.094648,0.175542,-0.047502,-0.169356,-0.141774,-0.140513,-0.105522,-0.103206,2062.389163,0.438424,953.485645,68.627884,1.0,71.318299,0.43367,-0.012985,0.190108,girls
2MFyIarn1mk,0.948817,4.170021,2087.979443,4.187062,121.066971,0.075542,4.600437,2680.247586,0.482696,2970.398342,1.701472,6.712554,9042.597241,5648.295784,0.791724,0.081212,36628.197229,0.571881,1.982801,-0.023429,0.486639,0.179222,0.080428,0.155734,-0.144018,-0.062384,-0.012146,-0.045578,-0.039987,0.009731,0.098972,1376.841244,0.468085,933.050529,58.988304,1.0,66.072783,0.481937,-0.017011,0.160035,no actors
2dgTRykXw1E,0.896131,5.67408,2265.153746,4.649697,138.064671,0.145157,3.133099,2876.372527,0.500583,3439.326071,1.864421,7.453145,10207.118376,6230.143985,0.790027,0.131729,21050.859172,0.527563,1.543754,-0.305126,0.801388,0.190415,0.252447,0.077619,0.154258,0.183314,0.163123,0.049226,0.012406,0.069232,0.132575,1028.38438,0.6317,647.335205,47.787824,1.0,61.698417,0.558727,-0.020718,0.142738,boys
2g5RT58wvMQ,0.855643,3.905294,1599.496176,4.248729,113.081355,0.116667,3.043821,2925.855199,0.474762,3120.891808,2.355439,11.14709,9439.337306,5354.107936,0.751903,0.09981,15615.266861,0.862876,2.312963,-0.263401,0.37792,-0.19747,0.207914,-0.15368,-0.00242,-0.128587,-0.083625,-0.035905,-0.097254,0.009471,-0.004085,1665.885287,0.560266,872.316773,70.140196,1.0,72.232338,0.512822,0.003689,0.154994,girls
02qnqWCCdaI,0.957386,4.650098,1113.081554,4.73047,117.771441,0.098108,2.208805,3014.08649,0.571083,3105.054186,1.704214,7.236691,9409.013017,6052.428313,0.803918,0.113628,38930.332652,0.675731,1.284819,-0.196147,0.641963,0.164332,0.25952,0.089517,0.144003,0.083667,0.079695,0.073429,0.054974,-0.012612,-0.014533,1630.875099,0.543357,668.547711,56.26189,1.0,66.412185,0.621689,-0.001077,0.121551,boys
3BMd4oMNAFg,0.889512,2.675627,2758.14824,4.15553,126.293109,0.078806,2.819334,2541.393436,0.482361,2846.364373,2.55854,13.897948,8098.117405,4688.04796,0.746604,0.092542,34873.2957,0.509938,1.734607,-0.173294,0.96622,0.189701,0.302368,0.060942,-0.013157,0.091376,-0.001611,0.033231,-0.026226,0.101717,0.09579,1419.166667,0.458333,846.420102,50.896999,1.0,62.185208,0.379653,-0.011209,0.161521,no actors
3IT9g-IHkcE,0.810651,3.003229,2767.300888,4.251047,117.094686,0.10149,3.970249,2882.505978,0.454217,3222.85702,1.94151,8.280017,9703.679946,5943.573371,0.775815,0.11137,12876.024544,0.707032,2.355389,0.026245,0.3263,0.013035,-0.070041,0.083582,-0.102038,0.081982,0.045591,-0.00516,0.15211,-0.041799,-0.082232,1414.860884,0.567921,892.426201,64.754386,1.0,67.526687,0.426916,-0.020502,0.16843,mixed
